variable,dictionaryID,dimensionID,Type,languageCode,dictionary,dimension,section,subSection,heading,Subheading,word,
c9.36,9,36,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Comparative Quantity,Comparison with Similar,,Inferiority,
c9.37,9,37,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Comparative Quantity,Changes in Quantity,,Increase,
c9.38,9,38,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Comparative Quantity,Changes in Quantity,,Decrease,
c9.39,9,39,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Addition,
c9.40,9,40,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Subtraction,
c9.41,9,41,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Adjunct,
c9.42,9,42,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Remainder,
c9.43,9,43,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Decrement,
c9.44,9,44,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Mixture,
c9.45,9,45,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Simpleness,
c9.46,9,46,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Junction,
c9.47,9,47,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Disjunction,
c9.48,9,48,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Connection,
c9.49,9,49,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Coherence,
c9.50,9,50,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Incoherence,
c9.51,9,51,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Combination,
c9.52,9,52,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Conjunctive Quantity,,,Decomposition,
c9.53,9,53,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Concrete Quantity,,,Whole,
c9.54,9,54,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Concrete Quantity,,,Part,
c9.55,9,55,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Concrete Quantity,,,3 Completeness,
c9.56,9,56,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Concrete Quantity,,,Incompleteness,
c9.57,9,57,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Concrete Quantity,,,Composition,
c9.58,9,58,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Concrete Quantity,,,Exclusion,
c9.59,9,59,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Concrete Quantity,,,Component,
c9.60,9,60,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Concrete Quantity,,,Extraneousness,
c9.61,9,61,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Order General,,,Order,
c9.62,9,62,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Order General,,,Disorder,
c9.63,9,63,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Order General,,,Complexity,
c9.64,9,64,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Order General,,,Arrangement,
c9.65,9,65,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Order General,,,Derangement,
c9.66,9,66,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Consecutive Order,,,Precedence,
c9.67,9,67,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Consecutive Order,,,Sequence,
c9.68,9,68,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Consecutive Order,,,Precursor,
c9.69,9,69,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Consecutive Order,,,Sequel,
c9.70,9,70,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Consecutive Order,,,Beginning,
c9.71,9,71,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Consecutive Order,,,End,
c9.72,9,72,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Consecutive Order,,,Middle,
c9.73,9,73,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Consecutive Order,,,Continuity,
c9.74,9,74,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Consecutive Order,,,Discontinuity,
c9.75,9,75,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Consecutive Order,,,Term,
c9.76,9,76,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Collective Order,,,Assemblage,
c9.77,9,77,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Collective Order,,,Dispersion,
c9.78,9,78,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Collective Order,,,Focus,
c9.79,9,79,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Distributive Order,,,Class,
c9.80,9,80,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Distributive Order,,,Inclusion,
c9.81,9,81,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Distributive Order,,,Exclusion,
c9.82,9,82,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Distributive Order,,,Generality,
c9.83,9,83,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Distributive Order,,,Speciality,
c9.84,9,84,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Categorical Order,,,Normality,
c9.85,9,85,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Categorical Order,,,Multiformity,
c9.86,9,86,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Categorical Order,,,Conformity,
c9.87,9,87,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Order,Categorical Order,,,Unconformity,
c9.88,9,88,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Number in The Abstract,,,Number,
c9.89,9,89,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Number in The Abstract,,,Numeration,
c9.90,9,90,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Number in The Abstract,,,List,
c9.91,9,91,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,0 Quadruplication,
c9.92,9,92,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,1 Quadrisection,
c9.93,9,93,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,2 Five And Over,
c9.94,9,94,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,3 Multisection,
c9.95,9,95,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,Unity,
c9.96,9,96,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,Accompaniment,
c9.97,9,97,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,Duality,
c9.98,9,98,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,Duplication,
c9.99,9,99,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,Bisection,
c9.100,9,100,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,Triality,
c9.101,9,101,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,Triplication,
c9.102,9,102,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,Trisection,
c9.103,9,103,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,Determinate Number,,,Four,
c9.104,9,104,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,indeterminate Number,,,Plurality,
c9.105,9,105,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,indeterminate Number,,,Fraction,
c9.106,9,106,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,indeterminate Number,,,Zero,
c9.107,9,107,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,indeterminate Number,,,Multitude,
c9.108,9,108,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,indeterminate Number,,,Fewness,
c9.109,9,109,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,indeterminate Number,,,Repetition,
c9.110,9,110,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Number,indeterminate Number,,,Infinity,
c9.111,9,111,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Absolute Time,,,Time,
c9.112,9,112,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Absolute Time,,,Neverness,
c9.113,9,113,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Absolute Time,,,Period,
c9.114,9,114,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Absolute Time,,,Contingent Duration,
c9.115,9,115,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Absolute Time,,,Course,
c9.116,9,116,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Absolute Time,,,Diuturnity,
c9.117,9,117,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Absolute Time,,,Transientness,
c9.118,9,118,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Absolute Time,,,Perpetuity,
c9.119,9,119,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Absolute Time,,,Instantaneity,
c9.120,9,120,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Absolute Time,,,Chronometry,
c9.121,9,121,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Absolute Time,,,Anachronism,
c9.122,9,122,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to Succession,,Priority,
c9.123,9,123,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to Succession,,Posteriority,
c9.124,9,124,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to Succession,,The Present Time,
c9.125,9,125,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to Succession,,Different Time,
c9.126,9,126,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to Succession,,Synchronism,
c9.127,9,127,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to A Period,,Futurity,
c9.128,9,128,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to A Period,,The Past,
c9.129,9,129,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to A Period,,Newness,
c9.130,9,130,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to A Period,,Oldness,
c9.131,9,131,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to A Period,,Morning,
c9.132,9,132,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to A Period,,Evening,
c9.133,9,133,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to A Period,,Youth,
c9.134,9,134,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to A Period,,Age,
c9.135,9,135,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to A Period,,Infant,
c9.136,9,136,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to A Period,,Veteran,
c9.137,9,137,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Relative to A Period,,Adolescence,
c9.138,9,138,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Reference to Effect Purpose,,Earliness,
c9.139,9,139,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Reference to Effect Purpose,,Punctuality,
c9.140,9,140,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Reference to Effect Purpose,,Lateness,
c9.141,9,141,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Reference to Effect Purpose,,Occasion,
c9.142,9,142,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Relative Time,Reference to Effect Purpose,,Untimeliness,
c9.143,9,143,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Recurrent Time,,,Frequency,
c9.144,9,144,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Recurrent Time,,,Infrequency,
c9.145,9,145,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Recurrent Time,,,Periodicity,
c9.146,9,146,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Time,Recurrent Time,,,Fitfullness,
c9.147,9,147,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Simple Change,,,Change,
c9.148,9,148,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Simple Change,,,Permanence,
c9.149,9,149,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Simple Change,,,Cessation,
c9.150,9,150,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Simple Change,,,Continuance In Action,
c9.151,9,151,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Simple Change,,,Conversion,
c9.152,9,152,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Simple Change,,,Reversion,
c9.153,9,153,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Simple Change,,,Revolution,
c9.154,9,154,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Simple Change,,,Substitution,
c9.155,9,155,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Simple Change,,,Interchange,
c9.156,9,156,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Complex Change,,,Changeableness,
c9.157,9,157,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Complex Change,,,Stability,
c9.158,9,158,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Complex Change,,,Eventuality,
c9.159,9,159,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Change,Complex Change,,,Destiny,
c9.160,9,160,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Constancy of Sequence,,,Cause,
c9.161,9,161,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Constancy of Sequence,,,Effect,
c9.162,9,162,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Constancy of Sequence,,,Attribution,
c9.163,9,163,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Constancy of Sequence,,,Chance,
c9.164,9,164,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,About Cause and Effect,,,Power,
c9.165,9,165,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,About Cause and Effect,,,Impotence,
c9.166,9,166,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,About Cause and Effect,,,Strength,
c9.167,9,167,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,About Cause and Effect,,,Weakness,
c9.168,9,168,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Production,
c9.169,9,169,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Destruction,
c9.170,9,170,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Reproduction,
c9.171,9,171,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Producer,
c9.172,9,172,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Destroyer,
c9.173,9,173,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Paternity,
c9.174,9,174,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Posterity,
c9.175,9,175,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Productiveness,
c9.176,9,176,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Unproductiveness,
c9.177,9,177,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Agency,
c9.178,9,178,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Physical Energy,
c9.179,9,179,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Physical Inertness,
c9.180,9,180,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Violence,
c9.181,9,181,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Power in Operation,,,Moderation,
c9.182,9,182,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,indirect Power,,,Influence,
c9.183,9,183,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,indirect Power,,,Absence Of Influence,
c9.184,9,184,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,indirect Power,,,Tendency,
c9.185,9,185,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,indirect Power,,,Liability,
c9.186,9,186,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Combination of Causes,,,Concurrence,
c9.187,9,187,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Causation,Combination of Causes,,,Counteraction,
c9.188,9,188,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Abstract Space,,,Space,
c9.189,9,189,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Abstract Space,,,Inextension,
c9.190,9,190,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Abstract Space,,,Region,
c9.191,9,191,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Abstract Space,,,Place,
c9.192,9,192,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Relative Space,,,Situation,
c9.193,9,193,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Relative Space,,,Location,
c9.194,9,194,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Relative Space,,,Displacement,
c9.195,9,195,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Existence in Space,,,Presence,
c9.196,9,196,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Existence in Space,,,Absence,
c9.197,9,197,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Existence in Space,,,Inhabitant,
c9.198,9,198,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Existence in Space,,,Abode,
c9.199,9,199,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Existence in Space,,,Contents,
c9.200,9,200,Wordcount,eng,Roget's Thesaurus,Related to Space,Space In General,Existence in Space,,,Receptacle,
c9.201,9,201,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,General Dimensions,,,Size,
c9.202,9,202,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,General Dimensions,,,Littleness,
c9.203,9,203,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,General Dimensions,,,Expansion,
c9.204,9,204,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,General Dimensions,,,Contraction,
c9.205,9,205,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,General Dimensions,,,Distance,
c9.206,9,206,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,General Dimensions,,,Nearness,
c9.207,9,207,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,General Dimensions,,,Interval,
c9.208,9,208,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,General Dimensions,,,Contiguity,
c9.209,9,209,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Length,
c9.210,9,210,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Shortness,
c9.211,9,211,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Breadth,
c9.212,9,212,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Narrowness,
c9.213,9,213,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Layer,
c9.214,9,214,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Filament,
c9.215,9,215,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Height,
c9.216,9,216,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Lowness,
c9.217,9,217,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Depth,
c9.218,9,218,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Shallowness,
c9.219,9,219,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Summit,
c9.220,9,220,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Base,
c9.221,9,221,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Verticality,
c9.222,9,222,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Horizontality,
c9.223,9,223,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Pendency,
c9.224,9,224,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Support,
c9.225,9,225,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Parallelism,
c9.226,9,226,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Perpendicularity,
c9.227,9,227,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Obliquity,
c9.228,9,228,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Inversion,
c9.229,9,229,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Linear Dimensions,,,Crossing,
c9.230,9,230,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Exteriority,
c9.231,9,231,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Interiority,
c9.232,9,232,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Centrality,
c9.233,9,233,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Covering,
c9.234,9,234,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Lining,
c9.235,9,235,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Clothing,
c9.236,9,236,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Divestment,
c9.237,9,237,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Circumjacence,
c9.238,9,238,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Interposition,
c9.239,9,239,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Circumscription,
c9.240,9,240,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Outline,
c9.241,9,241,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Edge,
c9.242,9,242,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Inclosure,
