Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,Category,SubCategory,Level1,Level2,Level3,
c9.34,9,34,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Comparative Quantity,Comparison With Standard,Smallness,
c9.35,9,35,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Comparative Quantity,Comparison With Similar,Superiority,
c9.36,9,36,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Comparative Quantity,Comparison With Similar,Inferiority,
c9.37,9,37,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Comparative Quantity,Changes In Quantity,Increase,
c9.38,9,38,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Comparative Quantity,Changes In Quantity,Decrease,
c9.39,9,39,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Addition,,
c9.40,9,40,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Subtraction,,
c9.41,9,41,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Adjunct,,
c9.42,9,42,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Remainder,,
c9.43,9,43,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Decrement,,
c9.44,9,44,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Mixture,,
c9.45,9,45,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Simpleness,,
c9.46,9,46,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Junction,,
c9.47,9,47,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Disjunction,,
c9.48,9,48,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Connection,,
c9.49,9,49,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Coherence,,
c9.50,9,50,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Incoherence,,
c9.51,9,51,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Combination,,
c9.52,9,52,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Conjunctive Quantity,Decomposition,,
c9.53,9,53,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Concrete Quantity,Whole,,
c9.54,9,54,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Concrete Quantity,Part,,
c9.55,9,55,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Concrete Quantity,Completeness,,
c9.56,9,56,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Concrete Quantity,Incompleteness,,
c9.57,9,57,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Concrete Quantity,Composition,,
c9.58,9,58,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Concrete Quantity,Exclusion,,
c9.59,9,59,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Concrete Quantity,Component,,
c9.60,9,60,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Concrete Quantity,Extraneousness,,
c9.61,9,61,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Order General,Order,,
c9.62,9,62,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Order General,Disorder,,
c9.63,9,63,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Order General,Complexity,,
c9.64,9,64,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Order General,Arrangement,,
c9.65,9,65,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Order General,Derangement,,
c9.66,9,66,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Consecutive Order,Precedence,,
c9.67,9,67,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Consecutive Order,Sequence,,
c9.68,9,68,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Consecutive Order,Precursor,,
c9.69,9,69,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Consecutive Order,Sequel,,
c9.70,9,70,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Consecutive Order,Beginning,,
c9.71,9,71,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Consecutive Order,End,,
c9.72,9,72,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Consecutive Order,Middle,,
c9.73,9,73,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Consecutive Order,Continuity,,
c9.74,9,74,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Consecutive Order,Discontinuity,,
c9.75,9,75,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Consecutive Order,Term,,
c9.76,9,76,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Collective Order,Assemblage,,
c9.77,9,77,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Collective Order,Dispersion,,
c9.78,9,78,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Collective Order,Focus,,
c9.79,9,79,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Distributive Order,Class,,
c9.80,9,80,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Distributive Order,Inclusion,,
c9.81,9,81,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Distributive Order,Exclusion,,
c9.82,9,82,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Distributive Order,Generality,,
c9.83,9,83,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Distributive Order,Speciality,,
c9.84,9,84,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Categorical Order,Normality,,
c9.85,9,85,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Categorical Order,Multiformity,,
c9.86,9,86,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Categorical Order,Conformity,,
c9.87,9,87,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Order,Categorical Order,Unconformity,,
c9.88,9,88,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Number In The Abstract,Number,,
c9.89,9,89,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Number In The Abstract,Numeration,,
c9.90,9,90,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Number In The Abstract,List,,
c9.91,9,91,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Quadruplication,,
c9.92,9,92,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Quadrisection,,
c9.93,9,93,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Five And Over,,
c9.94,9,94,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Multisection,,
c9.95,9,95,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Unity,,
c9.96,9,96,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Accompaniment,,
c9.97,9,97,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Duality,,
c9.98,9,98,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Duplication,,
c9.99,9,99,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Bisection,,
c9.100,9,100,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Triality,,
c9.101,9,101,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Triplication,,
c9.102,9,102,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Trisection,,
c9.103,9,103,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Determinate Number,Four,,
c9.104,9,104,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Indeterminate Number,Plurality,,
c9.105,9,105,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Indeterminate Number,Fraction,,
c9.106,9,106,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Indeterminate Number,Zero,,
c9.107,9,107,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Indeterminate Number,Multitude,,
c9.108,9,108,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Indeterminate Number,Fewness,,
c9.109,9,109,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Indeterminate Number,Repetition,,
c9.110,9,110,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Number,Indeterminate Number,Infinity,,
c9.111,9,111,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Absolute Time,Time,,
c9.112,9,112,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Absolute Time,Neverness,,
c9.113,9,113,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Absolute Time,Period,,
c9.114,9,114,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Absolute Time,Contingent Duration,,
c9.115,9,115,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Absolute Time,Course,,
c9.116,9,116,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Absolute Time,Diuturnity,,
c9.117,9,117,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Absolute Time,Transientness,,
c9.118,9,118,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Absolute Time,Perpetuity,,
c9.119,9,119,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Absolute Time,Instantaneity,,
c9.120,9,120,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Absolute Time,Chronometry,,
c9.121,9,121,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Absolute Time,Anachronism,,
c9.122,9,122,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To Succession,Priority,
c9.123,9,123,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To Succession,Posteriority,
c9.124,9,124,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To Succession,The Present Time,
c9.125,9,125,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To Succession,Different Time,
c9.126,9,126,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To Succession,Synchronism,
c9.127,9,127,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To A Period,Futurity,
c9.128,9,128,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To A Period,The Past,
c9.129,9,129,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To A Period,Newness,
c9.130,9,130,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To A Period,Oldness,
c9.131,9,131,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To A Period,Morning,
c9.132,9,132,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To A Period,Evening,
c9.133,9,133,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To A Period,Youth,
c9.134,9,134,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To A Period,Age,
c9.135,9,135,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To A Period,Infant,
c9.136,9,136,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To A Period,Veteran,
c9.137,9,137,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Relative To A Period,Adolescence,
c9.138,9,138,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Reference To Effect,Purpose,Earliness
c9.139,9,139,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Reference To Effect,Purpose,Punctuality
c9.140,9,140,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Reference To Effect,Purpose,Lateness
c9.141,9,141,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Reference To Effect,Purpose,Occasion
c9.142,9,142,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Relative Time,Reference To Effect,Purpose,Untimeliness
c9.143,9,143,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Recurrent Time,Frequency,,
c9.144,9,144,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Recurrent Time,Infrequency,,
c9.145,9,145,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Recurrent Time,Periodicity,,
c9.146,9,146,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Time,Recurrent Time,Fitfullness,,
c9.147,9,147,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Simple Change,Change,,
c9.148,9,148,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Simple Change,Permanence,,
c9.149,9,149,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Simple Change,Cessation,,
c9.150,9,150,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Simple Change,Continuance In Action,,
c9.151,9,151,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Simple Change,Conversion,,
c9.152,9,152,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Simple Change,Reversion,,
c9.153,9,153,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Simple Change,Revolution,,
c9.154,9,154,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Simple Change,Substitution,,
c9.155,9,155,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Simple Change,Interchange,,
c9.156,9,156,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Complex Change,Changeableness,,
c9.157,9,157,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Complex Change,Stability,,
c9.158,9,158,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Complex Change,Eventuality,,
c9.159,9,159,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Change,Complex Change,Destiny,,
c9.160,9,160,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Constancy Of Sequence,Cause,,
c9.161,9,161,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Constancy Of Sequence,Effect,,
c9.162,9,162,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Constancy Of Sequence,Attribution,,
c9.163,9,163,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Constancy Of Sequence,Chance,,
c9.164,9,164,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,About Cause And Effect,Power,,
c9.165,9,165,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,About Cause And Effect,Impotence,,
c9.166,9,166,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,About Cause And Effect,Strength,,
c9.167,9,167,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,About Cause And Effect,Weakness,,
c9.168,9,168,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Production,,
c9.169,9,169,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Destruction,,
c9.170,9,170,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Reproduction,,
c9.171,9,171,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Producer,,
c9.172,9,172,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Destroyer,,
c9.173,9,173,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Paternity,,
c9.174,9,174,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Posterity,,
c9.175,9,175,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Productiveness,,
c9.176,9,176,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Unproductiveness,,
c9.177,9,177,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Agency,,
c9.178,9,178,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Physical Energy,,
c9.179,9,179,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Physical Inertness,,
c9.180,9,180,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Violence,,
c9.181,9,181,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Power In Operation,Moderation,,
c9.182,9,182,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Indirect Power,Influence,,
c9.183,9,183,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Indirect Power,Absence Of Influence,,
c9.184,9,184,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Indirect Power,Tendency,,
c9.185,9,185,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Indirect Power,Liability,,
c9.186,9,186,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Combination Of Causes,Concurrence,,
c9.187,9,187,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Causation,Combination Of Causes,Counteraction,,
c9.188,9,188,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Abstract Space,Space,,
c9.189,9,189,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Abstract Space,Inextension,,
c9.190,9,190,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Abstract Space,Region,,
c9.191,9,191,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Abstract Space,Place,,
c9.192,9,192,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Relative Space,Situation,,
c9.193,9,193,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Relative Space,Location,,
c9.194,9,194,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Relative Space,Displacement,,
c9.195,9,195,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Existence In Space,Presence,,
c9.196,9,196,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Existence In Space,Absence,,
c9.197,9,197,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Existence In Space,Inhabitant,,
c9.198,9,198,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Existence In Space,Abode,,
c9.199,9,199,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Existence In Space,Contents,,
c9.200,9,200,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Space In General,Existence In Space,Receptacle,,
c9.201,9,201,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,General Dimensions,Size,,
c9.202,9,202,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,General Dimensions,Littleness,,
c9.203,9,203,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,General Dimensions,Expansion,,
c9.204,9,204,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,General Dimensions,Contraction,,
c9.205,9,205,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,General Dimensions,Distance,,
c9.206,9,206,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,General Dimensions,Nearness,,
c9.207,9,207,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,General Dimensions,Interval,,
c9.208,9,208,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,General Dimensions,Contiguity,,
c9.209,9,209,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Length,,
c9.210,9,210,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Shortness,,
c9.211,9,211,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Breadth,,
c9.212,9,212,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Narrowness,,
c9.213,9,213,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Layer,,
c9.214,9,214,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Filament,,
c9.215,9,215,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Height,,
c9.216,9,216,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Lowness,,
c9.217,9,217,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Depth,,
c9.218,9,218,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Shallowness,,
c9.219,9,219,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Summit,,
c9.220,9,220,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Base,,
c9.221,9,221,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Verticality,,
c9.222,9,222,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Horizontality,,
c9.223,9,223,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Pendency,,
c9.224,9,224,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Support,,
c9.225,9,225,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Parallelism,,
c9.226,9,226,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Perpendicularity,,
c9.227,9,227,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Obliquity,,
c9.228,9,228,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Inversion,,
c9.229,9,229,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Linear Dimensions,Crossing,,
c9.230,9,230,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Exteriority,,
c9.231,9,231,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Interiority,,
c9.232,9,232,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Centrality,,
c9.233,9,233,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Covering,,
