Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c22.12,22,12,WORDCOUNT,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Imageability,"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
v22.12,22,12,SCOREDVALUE,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Imageability (Scored Value),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
c23.1,23,1,WORDCOUNT,cat,ML-SENTICON (Non-English),Level1Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.1,23,1,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level1Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.2,23,2,WORDCOUNT,cat,ML-SENTICON (Non-English),Level1Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.2,23,2,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level1Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.3,23,3,WORDCOUNT,cat,ML-SENTICON (Non-English),Level2Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.3,23,3,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level2Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.4,23,4,WORDCOUNT,cat,ML-SENTICON (Non-English),Level2Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.4,23,4,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level2Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.5,23,5,WORDCOUNT,cat,ML-SENTICON (Non-English),Level3Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.5,23,5,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level3Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.6,23,6,WORDCOUNT,cat,ML-SENTICON (Non-English),Level3Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.6,23,6,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level3Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.7,23,7,WORDCOUNT,cat,ML-SENTICON (Non-English),Level4Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.7,23,7,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level4Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.8,23,8,WORDCOUNT,cat,ML-SENTICON (Non-English),Level4Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.8,23,8,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level4Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.9,23,9,WORDCOUNT,cat,ML-SENTICON (Non-English),Level5Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.9,23,9,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level5Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.10,23,10,WORDCOUNT,cat,ML-SENTICON (Non-English),Level5Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.10,23,10,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level5Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.11,23,11,WORDCOUNT,cat,ML-SENTICON (Non-English),Level6Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.11,23,11,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level6Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.12,23,12,WORDCOUNT,cat,ML-SENTICON (Non-English),Level6Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.12,23,12,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level6Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.13,23,13,WORDCOUNT,cat,ML-SENTICON (Non-English),Level7Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.13,23,13,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level7Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.14,23,14,WORDCOUNT,cat,ML-SENTICON (Non-English),Level7Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.14,23,14,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level7Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.15,23,15,WORDCOUNT,cat,ML-SENTICON (Non-English),Level8Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.15,23,15,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level8Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.16,23,16,WORDCOUNT,cat,ML-SENTICON (Non-English),Level8Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.16,23,16,SCOREDVALUE,cat,ML-SENTICON (Non-English),Level8Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.17,23,17,WORDCOUNT,spa,ML-SENTICON (Non-English),Level1Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.17,23,17,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level1Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.18,23,18,WORDCOUNT,spa,ML-SENTICON (Non-English),Level1Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.18,23,18,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level1Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.19,23,19,WORDCOUNT,spa,ML-SENTICON (Non-English),Level2Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.19,23,19,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level2Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.20,23,20,WORDCOUNT,spa,ML-SENTICON (Non-English),Level2Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.20,23,20,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level2Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.21,23,21,WORDCOUNT,spa,ML-SENTICON (Non-English),Level3Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.21,23,21,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level3Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.22,23,22,WORDCOUNT,spa,ML-SENTICON (Non-English),Level3Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.22,23,22,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level3Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.23,23,23,WORDCOUNT,spa,ML-SENTICON (Non-English),Level4Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.23,23,23,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level4Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.24,23,24,WORDCOUNT,spa,ML-SENTICON (Non-English),Level4Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.24,23,24,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level4Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.25,23,25,WORDCOUNT,spa,ML-SENTICON (Non-English),Level5Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.25,23,25,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level5Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.26,23,26,WORDCOUNT,spa,ML-SENTICON (Non-English),Level5Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.26,23,26,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level5Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.27,23,27,WORDCOUNT,spa,ML-SENTICON (Non-English),Level6Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.27,23,27,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level6Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.28,23,28,WORDCOUNT,spa,ML-SENTICON (Non-English),Level6Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.28,23,28,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level6Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.29,23,29,WORDCOUNT,spa,ML-SENTICON (Non-English),Level7Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.29,23,29,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level7Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.30,23,30,WORDCOUNT,spa,ML-SENTICON (Non-English),Level7Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.30,23,30,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level7Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.31,23,31,WORDCOUNT,spa,ML-SENTICON (Non-English),Level8Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.31,23,31,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level8Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.32,23,32,WORDCOUNT,spa,ML-SENTICON (Non-English),Level8Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.32,23,32,SCOREDVALUE,spa,ML-SENTICON (Non-English),Level8Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.33,23,33,WORDCOUNT,glg,ML-SENTICON (Non-English),Level1Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.33,23,33,SCOREDVALUE,glg,ML-SENTICON (Non-English),Level1Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.34,23,34,WORDCOUNT,glg,ML-SENTICON (Non-English),Level1Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.34,23,34,SCOREDVALUE,glg,ML-SENTICON (Non-English),Level1Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.35,23,35,WORDCOUNT,glg,ML-SENTICON (Non-English),Level2Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.35,23,35,SCOREDVALUE,glg,ML-SENTICON (Non-English),Level2Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.36,23,36,WORDCOUNT,glg,ML-SENTICON (Non-English),Level2Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.36,23,36,SCOREDVALUE,glg,ML-SENTICON (Non-English),Level2Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.37,23,37,WORDCOUNT,glg,ML-SENTICON (Non-English),Level3Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.37,23,37,SCOREDVALUE,glg,ML-SENTICON (Non-English),Level3Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.38,23,38,WORDCOUNT,glg,ML-SENTICON (Non-English),Level3Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v23.38,23,38,SCOREDVALUE,glg,ML-SENTICON (Non-English),Level3Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c23.39,23,39,WORDCOUNT,glg,ML-SENTICON (Non-English),Level4Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
