EventCode,Event
1724,Impose state of emergency or martial law
173,"Arrest, detain, or charge with legal action "
174,Expel or deport individuals
175,Use tactics of violent repression  
"18	",Assault
180,Use unconventional violence
181,"Abduct, hijack, or take hostage "
182,Physically assault
1821,Sexually assault
1822,Torture
1823,Kill by physical assault
183,"Conduct suicide, car, or other non-military bombing, not spec below"
1831,Carry out suicide bombing
1832,Carry out car bombing
1833,Carry out roadside bombing 
184,Use as human shield 
185,Attempt to assassinate
186,Assassinate 
"19	",Fight
190,Use conventional military force
191,"Impose blockade, restrict movement "
192,Occupy territory
193,Fight with small arms and light weapons
194,Fight with artillery and tanks
195,Employ aerial weapons
196,Violate ceasefire 
"20	",Use unconventional mass violence
200,Use unconventional mass violence
201,Engage in mass expulsion
202,Engage in mass killings
203,Engage in ethnic cleansing
204,Use weapons of mass destruction
2041,"Use chemical, biological, or radiologicalweapons"
2042,Detonate nuclear weapons
