Code,Topic
3501,Community and HIV/AIDS
3544,Community Based Health Insurance
1327,Community Based Interventions in Health
1568,Community College Education
1858,Community Development Agreements
2297,Community Development Funds
732,Community Driven Development
1840,Community Driven Development and Community Infrastructure
927,Community Driven Development and Fragile and Conflicted Affected States
438,Community Driven Development and Livelihoods
928,Community Driven Development and Local Governance
929,Community Driven Development and Resilience to Climate Change
2959,Community Driven Development and Rural Livelihoods
3587,Community Health Workers
2362,Community Mapping
3471,Community Mobilization for Water Supply and Sanitation
3640,Community Nutrition
2139,Community Outreach
1562,Community Participation in Primary Education
3420,Community Standposts
2005,Community Water Supply Management
575,Community-Based Climate Adaptation
1706,Community-Based Preparedness
1680,Community-Based Programs
847,Company and Corporate Law
2807,Compensation Policies
2048,Compensation
2116,Competition Agency Effectiveness
2111,Competition Economics
1031,Competition Law
406,Competition Policy
1080,Competition Policy and Growth
2865,Competition Policy and Jobs
614,Competitive Cities
2877,Competitive Cities and Jobs
346,Competitive Industries
1860,Competitive Neutrality and State Owned Enterprises
2829,Competitiveness and Jobs
2607,Competitiveness Diagnostics
2622,Competitiveness Reinforcement
1887,Complaints Review Mechanisms
3110,Computable General Equilibrium Modeling
940,Conciliation and Dispute Resolution
4134,Concrete Pavement
3552,Conditional Cash Transfers
3536,Condom Use
3617,Condoms
3759,Confirmation Bias and Poverty
2433,Conflict and Violence
2316,Conflict Minerals
2318,Conflict Minerals Certification
2317,Conflict Minerals Supply Chain Integrity
2022,Conflict of Interest Legislation
1029,Conflict of Laws
866,Connectivity and Lagging Regions
588,Conservation Finance
2039,Constitutional Courts and Legal Review
3779,Construction and Real Estate Property
1544,Construction and Rehabilitation of Schools
4147,Construction Bids and Contracts
972,Construction Law and Permits
3769,Construction Materials
364,Consumer Protection
3733,Consumer Protection Diagnostics
1017,Consumer Protection Law
1183,Consumption Abroad
1707,Contingency Planning
1145,Contingent Liabilities
2156,Continuum of Care
1453,Contraceptives
1883,Contract Disputes
4209,Contract Procurement in Transport
3562,Contracting for Health
3584,Contracting Health Workers
956,Contracts Law
898,Contributory Pensions
3188,Convective Storm
3392,Conventional Potable Water Treatment
2468,Conventional War
2977,Conveyor Canals
1976,Cooperative Development
2934,Copper
3089,Copper Line
2348,Copyleft Licensing
1040,Copyright Law
3866,Core Banking Products
1257,Core Principles for Effective Banking Supervision
1942,Core Principles for Effective Deposit Insurance Systems
2123,Corporate Data Networks
417,Corporate Governance
418,Corporate Governance for Capital Markets
419,Corporate Governance of Financial Institutions
3950,Corporate Governance of Power Utilities
420,Corporate Governance of State-Owned Enterprises
2782,Corporate Income Tax Exemptions
2534,Corporate Rescue
1940,Corrections and Prisons
2584,Corridor Management
1085,Corruption and Growth
2026,Corruption Prevention
1487,Cost Benefit Analysis of Education
3670,Cost Benefit Analysis of Water Projects
2293,Cost Oil
3479,Cost Recovery for Water Supply and Sanitation
4207,Cost Reimbursement Transport Contract
3557,Costing of Health Benefits
3645,Costing of Nutrition Interventions
2492,Counter-terrorism
2454,Counterfeit Goods
745,Country Social Analysis
2705,Country-Based Employment Analysis
1923,Court Administration
2349,Creative Commons Licensing
3881,Credit Processes
357,Credit Reporting
3885,Credit Risk
3882,Credit Scoring
1256,Credit Unions
3041,Crime
2455,Crime Networks
2513,Crimes Against Humanity
1014,Criminal Justice
958,Criminal Law
1186,Critical Commodities Finance
174,Crop Production
1968,Crop Selection and Production
795,Crop Water Requirement and Water Balance
4005,Cross-Border Power Line Construction
4007,Cross-Border Power Line Rehabilitation
4006,Cross-Border Power Substation Construction
4008,Cross-Border Power Substation Rehabilitation
1182,Cross-Border Supply
3574,Cross-Subsidies
2410,Crowdsourcing
4135,Crushed Stone
3009,Cultural Ecosystem Services
1765,Cultural Heritage and Sustainable Tourism
3018,Cultural Property Protection
1135,Current Account
1556,Curriculum Development
3080,Customer Relationship Management
3842,Customer Value Proposition
774,Customs and Border Management
2589,Customs and Trade Regulations
2578,Customs Unions
2457,Cyber Crime
3867,Cyber Security for Banking
2678,Cyclical Unemployment
3178,Cyclone
3361,Dam Failure
1386,Dam Safety
161,Dams and Reservoirs
3088,Dark Fiber
2385,Data Catalogues
3815,Data Driven Lending
3076,Data Mining
2369,Data Privacy
3082,Data Protection Law
2370,Data Security
2945,Database Software
2926,Day Care Centers
2547,De Facto Entry Barriers to Investment
2550,De Facto Protections
3207,Debris Avalanche
3211,Debris Mudslide
450,Debt
456,Debt and Fiscal Sustainability
1748,Debt Funds
451,Debt Management
1105,Debt Management Performance Assessments
1137,Debt Management Reform Plans
3067,Debt Management System
2532,Debt Recovery
452,Debt Relief
411,Debt Resolution
454,Debt Restructuring
1139,Debt Sustainability Framework
3526,Decentralization and Integration of HIV Services
3593,Decentralization in Health
3749,Decision Making and Poverty
3187,Deep Freeze
3102,Deflation
3386,Deforestation
3690,Delta Management
2818,Demand Driven Training
1491,Demand Side Financing of Education
932,Demobilisation
1086,Democracy and Growth
1448,Demographic Change
3663,Demographic Dividend
3483,Dengue Fever
3604,Dental Care
322,Deposit Insurance
3190,Derecho
3605,Dermatology,
3394,Desalination and Water Treatment,
3227,Desiccation,
3677,Design of Irrigation Systems,
3701,Design," Operations and Maintenance of Hydropower and Dams"""
2632,Destination Development,
1638,Destitutional Care,
3195,Destructive Weather,
2495,Detention,
1078,Determinants of Growth,
3579,Development Assistance for Health,
1541,Deworming,
1433,Diabetes,
1301,Diagnosis Related Groups,
3625,Diagnostics,
3083,Dial-Up,
2846,Diaspora-Based Investment,
2345,Digital Economy Strategy,
3814,Digital Finance,
3816,Digital Finance Delivery Channels,
678,Digital Government,
2417,Digital Manufacturing,
3090,Digital Subscriber Line,
3078,Digitization,
2473,Diplomacy and Negotiations,
1664,Direct Job Creation,
1587,Direct Services to Children,
3550,Direct Subsidies,
1636,Disability Allowance,
3500,Disability and AIDS,
1643,Disability Pension,
2474,Disarmament," Reintegration"""
1705,Disaster Preparedness
1709,Disaster Resilience
811,Disaster Resilient Cities
822,Disaster Risk Assessment
613,Disaster Risk Financing and Insurance
820,Disaster Risk Management
821,Disaster Risk Reduction
1244,Disclosure of Information
3379,Discrimination
3382,Discrimination Against Ethnicity and Race
3380,Discrimination Against Immigrants
3381,Discrimination Against LGBT Individuals
2565,Discriminatory Regulation
3583,Disease Reporting and Registries
1390,Disease Surveillance Systems
1406,Diseases
2806,Dismissal Procedures
1885,Dispute Boards
843,Dispute Resolution
1886,Dispute Resolution in Public Contracts
1535,Distance Education
3824,Distressed Asset Resolution
2376,Distributed Architecture
3953,Distribution Concessions
3441,District Metering Areas
2615,Diversification of Production and Exports
3031,Diversified Development
2764,Doing Business Surveys
2441,Domestic Violence
990,Drainage
991,Drainage Water Quality
2981,Drinking Water Quality Standards
3433,Drinking Water Source Protection
4199,Driverless Cars
4200,Drones
3162,Drought
1710,Drought Risk Reduction
2446,Drug Cartels
2456,Drugs and Narcotics
595,Drylands
2177,Dual Training
2791,Duality of the Labor Market
2878,Dynamic Agglomeration
3111,Dynamic Computable General Equilibrium
3117,Dynamic Stochastic General Equilibrium Models
2364,E-Commerce Applications
2346,E-Commerce Legislation
2358,e-Government
2365,e-Government Applications
1880,e-Government Procurement
3057,e-government services for business
3056,e-government services for citizens
3058,e-government services for governments
359,E-money
4035,e-Tolling Infrastructure
3606,Ear
479,Early Child Development
1612,Early Childhood Education
2444,Early Marriage
1676,Early Retirement
1268,Early Stage Financing
395,Early Stage Mentoring
570,Early Warning Systems
3567,Earmarking
3700,Earth Observation of Water
3154,Earthquake
2663,Ebola
2124,Economic Analysis of Education
3940,Economic Analysis of Power Projects
1152,Economic and Social Mobility
3709,Economic Assessments of Hydropower and Dams
3023,Economic Cost of Disease
407,Economic Governance and Transparency
471,Economic Growth
1070,Economic Growth Policy
1071,Economic Growth Project Analysis
3627,Economic Impact of Breastfeeding
705,Economic Shocks and Climate Change
703,Economic Shocks and Food Security
1141,Economic Shocks and Trade
702,Economic Shocks and Vulnerability
331,Economic Transparency
3502,Economics of AIDS
1540,Economics of Education
3674,Economics of Water Utility Regulation
1377,Ecosystem Access and Benefit Sharing
1829,Ecosystem Management
1830,Ecosystem Policies and Institutions
3010,Ecosystem Regulating Services
597,Ecosystem Services
3011,Ecosystem Supporting Services
576,Ecosystem-Based Adaptation
590,Ecosystems
589,Ecotourism
470,Education
2127,Education Access and Equity
1417,Education and AIDS
1475,Education and Civil Society
1472,Education and Culture
2175,Education and Economic Growth
1545,Education and Gender
1512,Education and Health
1473,Education and Households
1474,Education and Human Rights
494,Education and ICT
2483,Education and Post-Conflict Reconstruction
1478,Education and Poverty Reduction
2176,Education and the Knowledge Economy
2141,Education Districts
2135,Education Efficiency
498,Education Finance
1467,Education for All
2924,Education for All Fast Track Initiative
485,Education for Vulnerable and Disadvantaged Groups
1496,Education Funding Formulae
1547,Education in Emergency Situations
1548,Education in Post Conflict Situations
1522,Education Indicators and Statistics
1497,Education Management and Administration
1504,Education Management Information Systems
2923,Education of Females
1513,Education Policy and Planning
2148,Education Projections
2173,Education Public Expenditure Tracking Survey
1518,Education Reform
2147,Education Research and Development
1519,Education Strategic Planning and Management
1484,Education
1476,Education
1521,Education-related Examinations
1502,Educational Decentralization
2142,Educational Decentralization and Local Government
2168,Educational Equity
1894,Effective Insolvency and Creditor Rights Systems
3575,Efficiency and Health
1131,Efficiency of Resource Allocation
534,Efficient Energy Supply
2813,Efficient Labor Exchanges
2752,Elasticity of Labor Supply
1620,Elderly
2475,Electoral Support and Monitoring
3916,Electricity Access and Agriculture
3920,Electricity Access and Education
3919,Electricity Access and Health
3917,Electricity Access and Water
3954,Electricity Distribution Lease and Management Contracts
1629,Electricity Subsidies
3731,Electro-Mechanical Equipment for Hydro
1018,Electronic Commerce Law
681,Electronic Identity
3051,Electronic Identity Enabled Services
3049,Electronic Passport
828,Electronic Payments
1538,Electronic Pedagogy
1600,Emergency Benefits
1619,Emergency Conditions
1324,Emergency Medical Services
1454,Emergency Obstetric Care
2657,Emergency Preparedness
3135,Emerging Market Trends
4198,Emerging Transport Technologies
2844,Emigration
2957,Eminent Domain
2819,Employability Training
2131,Employability
2737,Employee Benefits
2704,Employer
2748,Employment
2767,Employment Administrative Data
2486,Employment and Post-Conflict Reconstruction
2055,Employment and Wage Data
2677,Employment Elasticity of Growth
1661,Employment Incentives
2835,Employment Intensive Investment
2808,Employment Protection
2895,Employment Rate
1043,Employment Regimes
2794,Employment Relationship
2760,Employment Tools and Methods
2795,Employment-At-Will
2371,Encryption
3146,Energetic Particles
521,Energy Access
3923,Energy Access Policy and Regulations
1756,Energy and Climate Change
507,Energy and Extractives
142,Energy and Water
533,Energy Efficiency
2927,Energy Efficiency Demand Side: Industry
2929,Energy Efficiency Demand Side: Urban
1697,Energy Efficiency Finance
538,Energy Efficiency in Industry
3428,Energy Efficiency in Urban Water Supply and Sanitation &nbsp;
1197,Energy Efficiency in Water and Wastewater Utilities
3794,Energy Efficiency Policy
3791,Energy Efficient Appliances
408,Energy Efficient Buildings
3790,Energy Efficient Lighting
3770,Energy Efficient Machinery
536,Energy Efficient Transport
1767,Energy Finance
1997,Energy for Desalination
1995,Energy for Water and Wastewater Treatment
1996,Energy Recovery from Wastewater
2279,Energy Resource Mobilization
2280,Energy Risk Mitigation
3908,Energy Storage
4011,Energy Storage Batteries
1627,Energy Subsidies
4150,Enforcement of Road Sustainability
3549,Enrollement and Health Insurance
1688,Enrollment Systems
658,Enterprise Applications
653,Enterprise Architecture
655,Enterprise Architecture Information Management
656,Enterprise Architecture Portfolio Management
3081,Enterprise Relationship Management
2762,Enterprise Surveys
388,Entrepreneurial and Research Diaspora Linkage
386,Entrepreneurship and Innovation Management Capability
2656,Entrepreneurship Development
1658,Entrepreneurship Training
2617,Entry and Survival into Exports
566,Environment and Natural Resources
3719,Environment Issues Related to Hydropower and Dams
1782,Environmental Agreements and Conventions
1388,Environmental and Social Assessments
2205,Environmental and Social Categorization
2915,Environmental Crime
1831,Environmental Crime and Law Enforcement
1936,Environmental Crime Enforcement
3371,Environmental Disaster
2197,Environmental Engineering
1783,Environmental Governance
1792,Environmental Health
2306,Environmental Impact Assessment
1784,Environmental Information Management
2916,Environmental Law Enforcement
849,Environmental Laws and Regulations
598,Environmental Management
2307,Environmental Management and Mitigation Plans
1376,Environmental Offsets
1785,Environmental Policies and Institutions
901,Environmental Safeguards
1786,Environmental Sustainability
157,Environmental Water Use and Catchment Protection
3033,Environmentally Sustainable Growth
2164,Epidemiology and Disease Surveillance
1167,Equality of Opportunities
334,Equity Markets
2158,Equity-Efficiency Trade-Off
3202,Erosion
1982,Erosion Control
659,ERP Systems
1352,Essential Medicines
2484,Essential Services Provision
2086,Establishment and Payroll Control
2089,Ethics and Codes of Conduct
2508,Ethnic Cleansing
2892,Ethnic Groups and Jobs
933,Ethnic
706,Evidence-Based Policy
1124,Exchange Rate Policy
2772,Exchange Rate Regimes and Employment
3226,Expansive Soil
1118,Expenditure Allocation
1109,Expenditure Analysis and Tools
1114,Expenditure Efficiency
1115,Expenditure Policy
2411,Expert Sourcing
2300,Exploratory Drilling
2614,Export Growth Determinants and Dynamics
2566,Export Promotion
1200,Export Zones
2827,Export-oriented Industrialization and Jobs
2954,EXPY
2157,External Efficiency of Education
2898,Extractive Industries
2281,Extractive Industries Transparency Initiative
4014,Extractives and Citizen Engagement
4012,Extractives and Climate
3934,Extractives and Cross-Cutting Themes
4013,Extractives and Fragile and Conflict States
3935,Extractives and Gender
3926,Extractives and Integrated Landscape Planning
3925,Extractives and Social Development
2295,Extractives Benefits Sharing
3142,Extraterrestrial Collision
3139,Extraterrestrial Event
3140,Extraterrestrial Impact
3144,Extraterrestrial Shockwave
3182,Extratropical Storm
3183,Extreme Temperature
1711,Extreme Weather Risk Reduction
2408,Fab Labs
2611,Factors of Production Conditions
3005,Factory Farm
1592,Family Allowance
1897,Family Law
1452,Family Planning
2841,Family Reunification
1969,Farm Household Consumption
1960,Farm Inputs
4018,FCS and Mining
4019,FCS and Oil and Gas
3458,Fecal Sludge Management
3459,Fecal Sludge Reuse
3568,Fee for Service
1603,Fee Waivers
398,Female and Youth Entrepreneurship
2437,Female Combatants
2950,Female Labor Market
2728,Female Workers
916,Female-Headed Households
2662,Fertility Rate
175,Fertilizers
1081,Finance and Growth
3472,Finance for Water Supply and Sanitation
3955,Financial Analysis of Energy Projects
3710,Financial Analysis of Hydropower and Dams
3671,Financial Analysis of Water Projects
3476,Financial and Economic Analysis of Water Supply and Sanitation Projects
318,Financial Architecture and Banking
1255,Financial Capability
3740,Financial Consumer Protection
372,Financial Cooperatives
321,Financial Crisis Preparedness
2081,Financial Disclosure
1492,Financial Flows for Education
627,Financial Incentives for Health Providers
363,Financial Inclusion
2078,Financial Inclusion and Financial Integrity
369,Financial Inclusion and Savings
3734,Financial Inclusion of Individuals Engaged in Agriculture
3741,Financial Inclusion of Women
3736,Financial Inclusion Strategies
3738,Financial Inclusion Support Framework
350,Financial Infrastructure and Remittances
3797,Financial Institutions
328,Financial Integrity
330,Financial Intelligence
2196,Financial Intermediaries
853,Financial Laws and Regulations
3391,Financial Literacy
683,Financial Management Information Systems
3870,Financial Modeling
3569,Financial Protection and Health
3100,Financial Reporting System
3894,Financial Risk Calculators
375,Financial Risk Management
3895,Financial Risk Reporting
374,Financial Sector and Social Inclusion
1920,Financial Sector Development
1142,Financial Sector Instability
1143,Financial Sector Liabilities
3892,Financial Simulation
3891,Financial Stress Testing
2077,Financial Supervision for Integrity
3478,Financial Sustainability for Water Supply and Sanitation
1245,Financial Vulnerability and Risks
3708,Financial
3521,Financing for HIV/AIDS
1360,Financing of Drugs
3626,Financing of Health Technologies
3622,Financing of Medical Equipment and Supplies
4151,Fire Control Systems
3156,Fire Following Earthquake
2201,Fire Occupational Safety
2873,Firm Behavior and Jobs
2864,Firm Dynamics and Productivity Growth
377,Firm Innovation
2717,Firm-Level Employment Analysis
2650,Firm-level Innovation
2618,Firm-Level Trade and Productivity Dynamics
447,Fiscal Aspects of Climate Change
448,Fiscal Aspects of Green Growth
1144,Fiscal Balance
1116,Fiscal Consolidation
1117,Fiscal Counter-Cyclicality
829,Fiscal Decentralization
711,Fiscal Incidence Analysis
3565,Fiscal Monitoring
445,Fiscal Policy
446,Fiscal Policy and Crisis Responses
1072,Fiscal Policy and Growth
1120,Fiscal Policy and Inequality
2773,Fiscal Policy and Jobs
1495,Fiscal Relations in Education
449,Fiscal Risks
1290,Fiscal Space for Health
1073,Fiscal Stimulus and Fiscal Rules
1097,Fiscal Sustainability
722,Fiscal Transparency
960,Fisheries Law
2330,Fixed Local Access
2796,Fixed Term Contracts
3219,Flash Flood
2812,Flexicurity
3216,Flood
3221,Flood Control
3224,Flood Damage
154,Flood Protection
3699,Flood Resilience Infrastructure
3222,Flood Risk Management
3181,Fog
1609,Food and In-kind Transfers
1054,Food Borne Diseases
1618,Food Distribution
646,Food Fortification
2988,Food Poisoning
200,Food Price Analysis
180,Food Safety
1052,Food Safety Standards
199,Food Security
1613,Food Stamps
1626,Food Subsidies
2559,Food Trade
1622,Food-for-Work
740,Forced Displacement
1669,Forced Labor
3384,Forced Marriage
2538,Foreign Direct Investment Analysis 
2833,Foreign Direct Investment and Jobs
863,Foreign Direct Investments Spillovers
3774,Forest and Wood Products
3168,Forest Fire
3024,Forest Technology
436,Forestry
1777,Forests
2881,Formalization and Productivity
3657,Formative Research
2303,Fracking
2432,Fragility
3573,Fragmentation and Health Financing
3761,Framing Aspects and Poverty
2831,Free Trade Agreements and Jobs
2577,Free Trade Areas
1201,Free Zones
794,Freight Services
1778,Freshwater Ecosystems
2992,Freshwater Fisheries
1628,Fuel Subsidies
1815,Fuel Taxes
2059,Functional Reviews
1896,Fundamental Areas of the Law
380,Funding Innovation
1598,Funeral Grants
1425,Fungus Infections
2353,Future Internet Policy
2412,Gamification
2452,Gangs
553,Gas Flaring Reduction
551,Gas Transportation
552,Gas Utilization
512,Gas-Fired Power
1753,Gas-to-Power
2585,Gateway Performance
2722,Gazelles and Jobs
