Code,Long_Code,Topic
WB_1100,WB_1100_SUSTAINABLE_GROWTH</A></LI></UL></DIV>,Sustainable Growth</a></li></ul></div>
WB_1102,WB_1102_ADMINISTRATIVE_LAW,Administrative Law
WB_1104,WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,Macroeconomic Vulnerability and Debt
WB_1105,WB_1105_DEBT_MANAGEMENT_PERFORMANCE_ASSESSMENTS,Debt Management Performance Assessments
WB_1106,WB_1106_MACROECONOMIC_PERFORMANCE,Macroeconomic Performance
WB_1107,WB_1107_MEDIUM_TERM_DEBT_MANAGEMENT_STRATEGY,Medium Term Debt Management Strategy
WB_1108,WB_1108_MONETARY_ANALYSIS,Monetary Analysis
WB_1109,WB_1109_EXPENDITURE_ANALYSIS_AND_TOOLS,Expenditure Analysis and Tools
WB_1110,WB_1110_AGEING_AND_FISCAL_POLICY,Ageing and Fiscal Policy
WB_1111,WB_1111_AID_DEPENDENCE,Aid Dependence
WB_1112,WB_1112_GOVERNMENT_EXPENDITURE,Government Expenditure
WB_1114,WB_1114_EXPENDITURE_EFFICIENCY,Expenditure Efficiency
WB_1115,WB_1115_EXPENDITURE_POLICY,Expenditure Policy
WB_1116,WB_1116_FISCAL_CONSOLIDATION,Fiscal Consolidation
WB_1117,WB_1117_FISCAL_COUNTER-CYCLICALITY,Fiscal Counter-Cyclicality
WB_1118,WB_1118_EXPENDITURE_ALLOCATION,Expenditure Allocation
WB_1119,WB_1119_REVENUE_SHARING,Revenue Sharing
WB_1120,WB_1120_FISCAL_POLICY_AND_INEQUALITY,Fiscal Policy and Inequality
WB_1121,WB_1121_TAXATION,Taxation
WB_1122,WB_1122_TAX_EXPENDITURES,Tax Expenditures
WB_1123,WB_1123_CENTRAL_BANKING_INSTITUTIONAL_SET-UP,Central Banking Institutional Set-up
WB_1124,WB_1124_EXCHANGE_RATE_POLICY,Exchange Rate Policy
WB_1125,WB_1125_INTEREST_RATE_POLICY,Interest Rate Policy
WB_1127,WB_1127_RESERVE_RATES,Reserve Rates
WB_1128,WB_1128_MACROPRUDENTIAL_POLICY,Macroprudential Policy
WB_1129,WB_1129_SOVEREIGN_ASSET_MANAGEMENT,Sovereign Asset Management
WB_1130,WB_1130_STRUCTURAL_POLICY_AND_REFORM,Structural Policy and Reform
WB_1131,WB_1131_EFFICIENCY_OF_RESOURCE_ALLOCATION,Efficiency of Resource Allocation
WB_1132,WB_1132_LABOR_MARKET_REGULATION,Labor Market Regulation
WB_1133,WB_1133_PRODUCTIVITY_ENHANCING_POLICY,Productivity Enhancing Policy
WB_1134,WB_1134_CAPITAL_ACCOUNT,Capital Account
WB_1135,WB_1135_CURRENT_ACCOUNT,Current Account
WB_1136,WB_1136_TRADE_BALANCE,Trade Balance
WB_1137,WB_1137_DEBT_MANAGEMENT_REFORM_PLANS,Debt Management Reform Plans
WB_1138,WB_1138_MULTILATERAL_DEBT_RELIEF_INITIATIVE,Multilateral Debt Relief Initiative
WB_1139,WB_1139_DEBT_SUSTAINABILITY_FRAMEWORK,Debt Sustainability Framework
WB_1140,WB_1140_SUBNATIONAL_DEMPA,Subnational DeMPA
WB_1141,WB_1141_ECONOMIC_SHOCKS_AND_TRADE,Economic Shocks and Trade
WB_1142,WB_1142_FINANCIAL_SECTOR_INSTABILITY,Financial Sector Instability
WB_1143,WB_1143_FINANCIAL_SECTOR_LIABILITIES,Financial Sector Liabilities
WB_1144,WB_1144_FISCAL_BALANCE,Fiscal Balance
WB_1145,WB_1145_CONTINGENT_LIABILITIES,Contingent Liabilities
WB_1146,WB_1146_QUASI-FISCAL_OPERATIONS</A></LI></UL></DIV>,Quasi-Fiscal Operations</a></li></ul></div>
WB_1147,WB_1147_MACROECONOMIC_IMBALANCES_AND_ADJUSTMENTS,Macroeconomic Imbalances and Adjustments
WB_1148,WB_1148_MACRO-VULNERABILITY,Macro-Vulnerability
WB_1149,WB_1149_SOFT_BUDGET_CONSTRAINTS,Soft Budget Constraints
WB_1150,WB_1150_PRICE_VOLATILITY,Price Volatility
WB_1151,WB_1151_MULTI-DIMENSIONAL_POVERTY,Multi-dimensional Poverty
WB_1152,WB_1152_ECONOMIC_AND_SOCIAL_MOBILITY,Economic and Social Mobility
WB_1153,WB_1153_MIDDLE-CLASS,Middle-class
WB_1154,WB_1154_TRANSITORY_POVERTY,Transitory Poverty
WB_1155,WB_1155_CHRONIC_POVERTY,Chronic Poverty
WB_1156,WB_1156_MONITORING_AND_EVALUATION_FOR_EVIDENCE-BASED_POLICY,Monitoring and Evaluation for Evidence-Based Policy
WB_1157,WB_1157_IMPACT_EVALUATION_FOR_EVIDENCE-BASED_POLICY,Impact Evaluation for Evidence-Based Policy
WB_1158,WB_1158_BENEFIT_INCIDENCE_ANALYSIS,Benefit Incidence Analysis
WB_1159,WB_1159_TAX_INCIDENCE_ANALYSIS,Tax Incidence Analysis
WB_1160,WB_1160_SHOCKS_AND_VULNERABILITY_TO_POVERTY,Shocks and Vulnerability to Poverty
WB_1162,WB_1162_POVERTY,Poverty
WB_1163,WB_1163_NATURAL_DISASTER_SHOCKS,Natural Disaster Shocks
WB_1164,WB_1164_COMMODITY_PRICES_SHOCKS,Commodity Prices Shocks
WB_1165,WB_1165_POVERTY_AND_FISCAL,Poverty and Fiscal
WB_1166,WB_1166_SPATIAL_INEQUALITY,Spatial Inequality
WB_1167,WB_1167_EQUALITY_OF_OPPORTUNITIES,Equality of Opportunities
WB_1168,WB_1168_INFORMALITY,Informality
WB_1169,WB_1169_MICRO-ENTERPRISES,Micro-enterprises
WB_1170,WB_1170_JOB_CREATION_AND_JOB_OPPORTUNITIES,Job Creation and Job Opportunities
WB_1171,WB_1171_NON_FARM_RURAL_EMPLOYMENT,Non Farm Rural Employment
WB_1172,WB_1172_TRANSPORT_INTEGRATORS,Transport Integrators
WB_1173,WB_1173_TRANSPORT_LOGISTICS_PROVIDERS,Transport Logistics Providers
WB_1174,WB_1174_WAREHOUSING_AND_STORAGE,Warehousing and Storage
WB_1175,WB_1175_INTRAREGIONAL_TRADE,Intraregional Trade
WB_1180,WB_1180_POLITICAL_ECONOMY_OF_TRADE_AND_INVESTMENT,Political Economy of Trade and Investment
WB_1181,WB_1181_GENERAL_AGREEMENT_ON_TRADE_IN_SERVICES,General Agreement on Trade in Services
WB_1182,WB_1182_CROSS-BORDER_SUPPLY,Cross-Border Supply
WB_1183,WB_1183_CONSUMPTION_ABROAD,Consumption Abroad
WB_1184,WB_1184_COMMERCIAL_PRESENCE,Commercial Presence
WB_1185,WB_1185_PRESENCE_OF_NATURAL_PERSONS,Presence of Natural Persons
WB_1186,WB_1186_CRITICAL_COMMODITIES_FINANCE,Critical Commodities Finance
WB_1187,WB_1187_STRUCTURED_TRADE_COMMODITY_FINANCE,Structured Trade Commodity Finance
WB_1188,WB_1188_TRADE_LIQUIDITY,Trade Liquidity
WB_1189,WB_1189_TRADE_SUPPLIER_FINANCE,Trade Supplier Finance
WB_1190,WB_1190_WAREHOUSE_FINANCE,Warehouse Finance
WB_1191,WB_1191_WORKING_CAPITAL_FINANCE,Working Capital Finance
WB_1192,WB_1192_IMPACT_OF_TRADE,Impact of Trade
WB_1193,WB_1193_TRADE_AND_FIRMS_ENTRY_AND_EXIT,Trade and Firms Entry and Exit
WB_1194,WB_1194_TRADE_AND_GENDER,Trade and Gender
WB_1195,WB_1195_TRADE_AND_NEW_GROWTH_POLES,Trade and New Growth Poles
WB_1196,WB_1196_TRADE_AND_POVERTY,Trade and Poverty
WB_1197,WB_1197_ENERGY_EFFICIENCY_IN_WATER_AND_WASTEWATER_UTILITIES,Energy Efficiency in Water and Wastewater Utilities
WB_1198,WB_1198_TRADE_AND_TECHNICAL_PROGRESS,Trade and Technical Progress
WB_1199,WB_1199_WATER_SUPPLY_AND_SANITATION,Water Supply and Sanitation
WB_1200,WB_1200_EXPORT_ZONES,Export Zones
WB_1201,WB_1201_FREE_ZONES,Free Zones
WB_1202,WB_1202_INDUSTRIAL_ZONES,Industrial Zones
WB_1203,WB_1203_SERVICE_SECTOR_ZONES,Service Sector Zones
WB_1211,WB_1211_HUMAN_RESOURCES,Human Resources
WB_1212,WB_1212_MONITORING_AND_EVALUATION_IN_JUSTICE,Monitoring and Evaluation in Justice
WB_1213,WB_1213_JUSTICE_SECTOR_SURVEYS,Justice Sector Surveys
WB_1215,WB_1215_WATER_QUALITY_STANDARDS,Water Quality Standards
WB_1220,WB_1220_SURFACE_WATER_MANAGEMENT,Surface Water Management
WB_1226,WB_1226_INDUSTRIAL_CLUSTERS_AND_VALUE_CHAINS,Industrial Clusters and Value Chains
WB_1227,WB_1227_AUTOMOTIVE_VALUE_CHAIN,Automotive Value Chain
WB_1228,WB_1228_ICT_VALUE_CHAIN,ICT Value Chain
WB_1229,WB_1229_LIGHT_MANUFACTURING_VALUE_CHAIN,Light Manufacturing Value Chain
WB_1230,WB_1230_TOURISM_VALUE_CHAIN,Tourism Value Chain
WB_1231,WB_1231_INDUSTRY_ANALYTICS_AND_DIAGNOSTICS,Industry Analytics and Diagnostics
WB_1232,WB_1232_PRINCIPLES_OF_CORPORATE_GOVERNANCE,Principles of Corporate Governance
WB_1234,WB_1234_BANKING_INSTITUTIONS,Banking Institutions
WB_1235,WB_1235_CENTRAL_BANKS,Central Banks
WB_1236,WB_1236_COMMERCIAL_BANKING,Commercial Banking
WB_1237,WB_1237_MERCHANT_BANKS,Merchant Banks
WB_1238,WB_1238_BASEL_CORE_PRINCIPLES,Basel Core Principles
WB_1239,WB_1239_BANK_ASSET_QUALITY,Bank Asset Quality
WB_1240,WB_1240_PRUDENTIAL_FRAMEWORK,Prudential Framework
WB_1241,WB_1241_BANK_CAPITAL_ADEQUACY,Bank Capital Adequacy
WB_1242,WB_1242_BANK_RISK_CONCENTRATION,Bank Risk Concentration
WB_1243,WB_1243_BANK_INTERNAL_CONTROLS,Bank Internal Controls
WB_1244,WB_1244_DISCLOSURE_OF_INFORMATION,Disclosure of Information
WB_1245,WB_1245_FINANCIAL_VULNERABILITY_AND_RISKS,Financial Vulnerability and Risks
WB_1247,WB_1247_MARKET_RISKS,Market Risks
WB_1248,WB_1248_MARKET_DISCIPLINE,Market Discipline
WB_1249,WB_1249_ACCESS_TO_FINANCE,Access to Finance
WB_1250,WB_1250_ACCESS_TO_FINANCE_FOR_HOUSEHOLDS_AND_INDIVIDUALS,Access to Finance for Households and Individuals
WB_1251,WB_1251_ACCESS_TO_FINANCE_FOR_WOMEN,Access to Finance for Women
WB_1252,WB_1252_MOBILE_BANKING,Mobile Banking
WB_1253,WB_1253_AGENT_BANKING,Agent Banking
WB_1254,WB_1254_INTERNET_BANKING,Internet Banking
WB_1255,WB_1255_FINANCIAL_CAPABILITY,Financial Capability
WB_1256,WB_1256_CREDIT_UNIONS,Credit Unions
WB_1257,WB_1257_CORE_PRINCIPLES_FOR_EFFECTIVE_BANKING_SUPERVISION,Core Principles for Effective Banking Supervision
WB_1258,WB_1258_INSURANCE_CORE_PRINCIPLES,Insurance Core Principles
WB_1259,WB_1259_PAYMENT_SYSTEMS_STANDARDS,Payment Systems Standards
WB_1260,WB_1260_INTERNATIONAL_STANDARDS_ON_AUDITING,International Standards on Auditing
WB_1261,WB_1261_INTERNATIONAL_STANDARDS_ON_COMBATING_MONEY_LAUNDERING_AND_THE_FINANCING_OF_TERRORISM_AND_PROLIFERATION,International Standards on Combating Money Laundering and the Financing of Terrorism and Proliferation
WB_1262,WB_1262_OBJECTIVES_AND_PRINCIPLES_OF_SECURITIES_REGULATION,Objectives and Principles of Securities Regulation
WB_1268,WB_1268_EARLY_STAGE_FINANCING,Early Stage Financing
WB_1274,WB_1274_TECHNOLOGY_TRANSFER_OFFICES,Technology Transfer Offices
WB_1275,WB_1275_INNOVATION_COLLABORATION,Innovation Collaboration
WB_1276,WB_1276_INSTITUTIONS_AND_GROWTH,Institutions and Growth
WB_1277,WB_1277_BANKRUPTCY_AND_LIQUIDATION,Bankruptcy and Liquidation
WB_1278,WB_1278_BUSINESS_ENTRY_AND_STARTUP_AND_ONE_STOP_SHOPS,Business Entry and Startup and One Stop Shops
WB_1279,WB_1279_BUSINESS_ENVIRONMENT_INDICATORS,Business Environment Indicators
WB_1281,WB_1281_MANUFACTURING,Manufacturing
WB_1282,WB_1282_PUBLIC-PRIVATE_DIALOG,Public-Private Dialog
WB_1283,WB_1283_PRIVATIZATION,Privatization
WB_1284,WB_1284_INVESTMENT_INCENTIVES,Investment Incentives
WB_1285,WB_1285_BUSINESS_TAXATION,Business Taxation
WB_1287,WB_1287_HEALTH_INSURANCE,Health Insurance
WB_1288,WB_1288_HEALTH_EQUITY,Health Equity
WB_1290,WB_1290_FISCAL_SPACE_FOR_HEALTH,Fiscal Space for Health
WB_1292,WB_1292_PRIVATE_HEALTH_INSURANCE,Private Health Insurance
WB_1296,WB_1296_AID_FLOWS_FOR_HEALTH,Aid Flows for Health
WB_1298,WB_1298_RESULTS-BASED_FINANCING_FOR_HEALTH,Results-Based Financing for Health
WB_1299,WB_1299_CAPITATION_IN_HEALTH_CARE,Capitation in Health Care
WB_1300,WB_1300_PROSPECTIVE_PAYMENT_SYSTEM,Prospective Payment System
WB_1301,WB_1301_DIAGNOSIS_RELATED_GROUPS,Diagnosis Related Groups
WB_1302,WB_1302_PROVIDER_PAYMENT_TO_HOSPITALS,Provider Payment to Hospitals
WB_1303,WB_1303_PROVIDER_PAYMENT_TO_HEALTH_WORKERS,Provider Payment to Health Workers
WB_1304,WB_1304_PROVIDER_PAYMENT_MECHANISMS,Provider Payment Mechanisms
WB_1305,WB_1305_HEALTH_SERVICES_DELIVERY,Health Services Delivery
WB_1306,WB_1306_PREVENTIVE_CARE,Preventive Care
WB_1307,WB_1307_PRIMARY_CARE,Primary Care
WB_1308,WB_1308_PALLIATIVE_CARE,Palliative Care
WB_1309,WB_1309_SECONDARY_CARE,Secondary Care
WB_1312,WB_1312_LONG-TERM_CARE,Long-term Care
WB_1315,WB_1315_TERTIARY_CARE,Tertiary Care
WB_1316,WB_1316_URBAN_HEALTH,Urban Health
WB_1317,WB_1317_RURAL_HEALTH,Rural Health
WB_1319,WB_1319_HEALTH_FACILITIES_RESTRUCTURING,Health Facilities Restructuring
WB_1320,WB_1320_QUALITY_OF_HEALTH_SERVICES,Quality of Health Services
WB_1321,WB_1321_HEALTH_CARE_PERFORMANCE_INDICATORS,Health Care Performance Indicators
WB_1324,WB_1324_EMERGENCY_MEDICAL_SERVICES,Emergency Medical Services
WB_1327,WB_1327_COMMUNITY_BASED_INTERVENTIONS_IN_HEALTH,Community Based Interventions in Health
WB_1328,WB_1328_BASIC_PACKAGE_OF_HEALTH_SERVICES,Basic Package of Health Services
WB_133,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,Information and Communication Technologies
WB_1331,WB_1331_HEALTH_TECHNOLOGIES,Health Technologies
WB_1332,WB_1332_HEALTH_WORKER_PERFORMANCE_AND_INCENTIVES,Health Worker Performance and Incentives
WB_1333,WB_1333_HEALTH_WORKER_MIGRATION,Health Worker Migration
WB_1334,WB_1334_RECRUITMENT_AND_DEPLOYMENT_OF_HEALTH_WORKERS,Recruitment and Deployment of Health Workers
WB_1335,WB_1335_RETENTION_OF_HEALTH_WORKERS,Retention of Health Workers
WB_1336,WB_1336_ABSENTEEISM_OF_HEALTH_WORKERS,Absenteeism of Health Workers
WB_1337,WB_1337_HEALTH_WORKER_TRAINING_AND_EDUCATION,Health Worker Training and Education
WB_134,WB_134_SOCIAL_DEVELOPMENT,Social Development
WB_135,WB_135_TRANSPORT,Transport
WB_1350,WB_1350_PHARMACEUTICALS,Pharmaceuticals
WB_1351,WB_1351_MANUFACTURING_OF_DRUGS,Manufacturing of Drugs
WB_1352,WB_1352_ESSENTIAL_MEDICINES,Essential Medicines
WB_1353,WB_1353_PHARMACEUTICAL_SUPPLY_CHAIN,Pharmaceutical Supply Chain
WB_1354,WB_1354_PHARMACEUTICAL_REGULATION,Pharmaceutical Regulation
WB_1355,WB_1355_PHARMACEUTICAL_PRICING,Pharmaceutical Pricing
WB_1356,WB_1356_PHARMACEUTICAL_POLICY,Pharmaceutical Policy
WB_1358,WB_1358_GENERIC_DRUGS,Generic Drugs
WB_1359,WB_1359_QUALITY_ASSURANCE_FOR_PHARMACEUTICALS,Quality Assurance for Pharmaceuticals
WB_1360,WB_1360_FINANCING_OF_DRUGS,Financing of Drugs
WB_1361,WB_1361_RATIONAL_SELECTION_AND_USE_OF_DRUGS,Rational Selection and Use of Drugs
WB_1362,WB_1362_MEDICAL_EQUIPMENT_AND_SUPPLIES,Medical Equipment and Supplies
WB_137,WB_137_WATER,Water
WB_1376,WB_1376_ENVIRONMENTAL_OFFSETS,Environmental Offsets
WB_1377,WB_1377_ECOSYSTEM_ACCESS_AND_BENEFIT_SHARING,Ecosystem Access and Benefit Sharing
WB_1378,WB_1378_PAYMENT_FOR_ENVIRONMENT_SERVICES,Payment for Environment Services
WB_138,WB_138_WATER_SUPPLY,Water Supply
WB_1385,WB_1385_GOVERNANCE_AND_REGULATION_OF_CARE,Governance and Regulation of Care
WB_1386,WB_1386_DAM_SAFETY,Dam Safety
WB_1388,WB_1388_ENVIRONMENTAL_AND_SOCIAL_ASSESSMENTS,Environmental and Social Assessments
WB_139,WB_139_WASTEWATER,Wastewater
WB_1390,WB_1390_DISEASE_SURVEILLANCE_SYSTEMS,Disease Surveillance Systems
WB_1391,WB_1391_HMIS_DESIGN,HMIS Design
WB_1392,WB_1392_HMIS_STANDARDS,HMIS Standards
WB_1396,WB_1396_HEALTH_PROVIDER_NETWORKS,Health Provider Networks
WB_1397,WB_1397_HEALTH_FACILITY_MANAGEMENT,Health Facility Management
WB_1398,WB_1398_MEDICAL_WASTE_MANAGEMENT,Medical Waste Management
WB_1399,WB_1399_HOSPITAL_MANAGEMENT,Hospital Management
WB_140,WB_140_AGRICULTURAL_WATER_MANAGEMENT,Agricultural Water Management
WB_1400,WB_1400_HEALTH_REFERRAL_SYSTEMS,Health Referral Systems
WB_1401,WB_1401_HEALTH_POLICY_AND_PLANNING,Health Policy and Planning
WB_1402,WB_1402_SEPARATION_OF_FUNCTIONS_(HEALTH_SECTOR),Separation of Functions (Health Sector)
WB_1403,WB_1403_STRENGTHENING_INSTITUTIONAL_CAPACITY_(HEALTH),Strengthening Institutional Capacity (Health)
WB_1406,WB_1406_DISEASES,Diseases
WB_141,WB_141_WATER_SECURITY_AND_INTEGRATED_RESOURCE_MANAGEMENT,Water Security and Integrated Resource Management
WB_1414,WB_1414_BURDEN_OF_DISEASE,Burden of Disease
WB_1415,WB_1415_COMMUNICABLE_DISEASE,Communicable Disease
WB_1416,WB_1416_HIV_AND_AIDS,HIV and AIDS
WB_1417,WB_1417_EDUCATION_AND_AIDS,Education and AIDS
WB_1418,WB_1418_TRANSPORT_AND_AIDS,Transport and AIDS
WB_1419,WB_1419_TUBERCULOSIS,Tuberculosis
WB_142,WB_142_ENERGY_AND_WATER,Energy and Water
WB_1420,WB_1420_MALARIA,Malaria
WB_1421,WB_1421_INFLUENZA,Influenza
WB_1422,WB_1422_SEXUALLY_TRANSMITTED_DISEASE_AND_SEXUALLY_TRANSMITTED_INFECTION,Sexually Transmitted Disease and Sexually Transmitted Infection
WB_1423,WB_1423_NEGLECTED_TROPICAL_DISEASES,Neglected Tropical Diseases
WB_1424,WB_1424_HELMINTH_INFECTIONS,Helminth Infections
WB_1425,WB_1425_FUNGUS_INFECTIONS,Fungus Infections
WB_1426,WB_1426_PROTOZOAL_INFECTIONS,Protozoal Infections
WB_1427,WB_1427_NON-COMMUNICABLE_DISEASE_AND_INJURY,Non-Communicable Disease and Injury
WB_1428,WB_1428_INJURY,Injury
WB_1429,WB_1429_ROAD_SAFETY,Road Safety
WB_143,WB_143_RURAL_WATER_SUPPLY</A></LI></UL></DIV>,Rural Water Supply</a></li></ul></div>
WB_1430,WB_1430_MENTAL_HEALTH,Mental Health
WB_1431,WB_1431_CANCER,Cancer
WB_1432,WB_1432_HYPERTENSION,Hypertension
WB_1433,WB_1433_DIABETES,Diabetes
WB_1434,WB_1434_HEART_DISEASE,Heart Disease
WB_1435,WB_1435_OBESITY,Obesity
WB_1436,WB_1436_RISK_FACTORS_FOR_NON-COMMUNICABLE_DISEASES_AND_INJURIES,Risk Factors for Non-Communicable Diseases and Injuries
WB_1437,WB_1437_SOCIAL_DETERMINANTS_FOR_HEALTH,Social Determinants for Health
WB_1438,WB_1438_ALCOHOL_AND_SUBSTANCE_ABUSE,Alcohol and Substance Abuse
WB_1439,WB_1439_TOBACCO_USE_AND_CONTROL,Tobacco Use and Control
WB_144,WB_144_URBAN_WATER,Urban Water
WB_1440,WB_1440_SEDENTARY_LIFE,Sedentary Life
WB_1441,WB_1441_SUPPLEMENTS,Supplements
WB_1442,WB_1442_BREASTFEEDING,Breastfeeding
WB_1444,WB_1444_GROWTH_MONITORING_AND_PROMOTION,Growth Monitoring and Promotion
WB_1445,WB_1445_STUNTING,Stunting
WB_1446,WB_1446_INFANT_AND_CHILD_MORTALITY,Infant and Child Mortality
WB_1447,WB_1447_GERIATRICS,Geriatrics
WB_1448,WB_1448_DEMOGRAPHIC_CHANGE,Demographic Change
WB_1450,WB_1450_ADOLESCENT_HEALTH,Adolescent Health
WB_1451,WB_1451_ANTENATAL_AND_POSTNATAL_CARE,Antenatal and Postnatal Care
WB_1452,WB_1452_FAMILY_PLANNING,Family Planning
WB_1453,WB_1453_CONTRACEPTIVES,Contraceptives
WB_1454,WB_1454_EMERGENCY_OBSTETRIC_CARE,Emergency Obstetric Care
WB_1455,WB_1455_MIDWIVES,Midwives
WB_1456,WB_1456_MATERNAL_MORTALITY_AND_MORBIDITY,Maternal Mortality and Morbidity
