Type,Code,Name,Description
Topic,AVIATION_INCIDENT,Aviation Incident,"Plane/helicopter crashes, collisions, accidents."
Topic,BAN,Ban,"Something being banned, prohibited, outlawed, criminalized, etc"
Topic,BLACK_MARKET,Black Market,"Actual mentions of ""black market"", not related terms"
Topic,BLOCKADE,Blockade,Mentions of blockades and no fly zones - use in combination with the military themes to distinguish armed vs non-kinetic blockades
Topic,BORDER,Border,Any discussion of borders
Topic,BULLYING,Bullying,"Explicit mention of the word ""bullying/cyberbullying"""
Topic,CEASEFIRE,Ceasefire,"Mentions of ceasefires, truces, peace deals, suspension of hostilities, etc"
Topic,CHARASMATIC_LEADERSHIP,Charasmatic Leadership,Charasmatic leadership
Topic,CHECKPOINT,Checkpoint,Security checkpoints
Topic,CLAIM_CREDIT,Claim Credit,"Claims of responsibility or credit, for good (claimed credit for the success) and bad (claimed credit for the bombing)"
Topic,CLOSURE,Closure,"Discussion of closure other than road, bridge, street, closure (ie, facility closure, military base closure, etc)"
Topic,CONFISCATION,Confiscation,Actual mention of confiscation in the text
Topic,CONSTITUTIONAL,Constitutional,Discussion of constitutionalism
Topic,CORRUPTION,Corruption,"Corruption, kickbacks, embezzling, profiteering, etc"
Topic,CRIME_CARTELS,Crime Cartels,"Primarily focused around mentions of drug cartels, drug corridors, etc. Does not currently have a list of cartels, just captures general discussion of them"
Topic,CRIME_COMMON_ROBBERY,Crime Common Robbery,"Discussion of general crime like pickpocketing, robbery, street criminals, etc"
Topic,CRIME_ILLEGAL_DRUGS,Crime Illegal Drugs,Mentions of illegal drugs
Topic,CURFEW,Curfew,Discussion of any curfew
Topic,CYBER_ATTACK,Cyber Attack,"Any discussion of cyberwarfare, cyberattacks, phishing, hacking, hacktivists, viruses, etc"
Topic,DEATH_PENALTY,Death Penalty,From general discussion of capital punishment to actual mentions of death sentences
Topic,DEFECTION,Defection,Any discussion of defection or defectors
Topic,DELAY,Delay,"Canceling, postponing, stalling delaying anything"
Topic,DEMOCRACY,Democracy,"Actual mention of the term ""democracy"""
Topic,DISABILITY,Disability,"Disability, disabled, handicapped."
Topic,DISCRIMINATION,Discrimination,"Racism, homophobia, xenophobia, etc"
Topic,DRONE,Drone,"Drones, UAVs."
Topic,DRUG_TRADE,Drug Trade,General discussion of the drug trade in broad terms - broader than the other categories
Topic,ECON_BANKRUPTCY,Economic Bankruptcy,Bankruptcy and bailouts
Topic,ECON_BOYCOTT,Economic Boycott,Boycotts
Topic,ECON_COST_OF_LIVING,Economic Cost Of Living,"Explicit mention of ""cost of living"", ""median wage"", etc"
Topic,ECON_CURRENCY_EXCHANGE_RATE,Economic Currency Exchange Rate,"Exchange rates, foreign exchange, forex, currency fluctuation, etc"
Topic,ECON_CURRENCY_RESERVES,Economic Currency Reserves,"Currency reserves, forex reserves, dollar and euro reserves, etc"
Topic,ECON_CUTOUTLOOK,Economic Cutoutlook,Cutting economic outlook
Topic,ECON_DEBT,Economic Debt,Discussion of debt
Topic,ECON_DEREGULATION,Economic Deregulation,Economic deregulation
Topic,ECON_EARNINGSREPORT,Economic Earningsreport,"Earnings reports, etc"
Topic,ECON_ENTREPRENEURSHIP,Economic Entrepreneurship,"Entrepreneurship, venture capital, seed funding, angel investors, etc"
Topic,ECON_FOREIGNINVEST,Economic Foreigninvest,Foreign investment
Topic,ECON_FREETRADE,Economic Freetrade,Free trade
Topic,ECON_HOUSING_PRICES,Economic Housing Prices,"Housing prices, real estate, and other explicit discussion of property"
Topic,ECON_INFORMAL_ECONOMY,Economic Informal Economy,Informal economies
Topic,ECON_INTEREST_RATES,Economic Interest Rates,"Interest rates, benchmark rates, overnight rates, libor, etc"
Topic,ECON_IPO,Economic Ipo,Initial Public Offerings
Topic,ECON_MONOPOLY,Economic Monopoly,"Monopolies, anticompetitive practice, etc"
Topic,ECON_MOU,Economic Mou,Relating to a Memorandum of Understanding
Topic,ECON_NATIONALIZE,Economic Nationalize,"Discussion of nationalization of industry, etc"
Topic,ECON_PRICECONTROL,Economic Pricecontrol,Price controls
Topic,ECON_REMITTANCE,Economic Remittance,Remittance
Topic,ECON_STOCKMARKET,Economic Stockmarket,"Any discussion of a stockmarket, NYSE, FTSE, etc, also discussion of government bonds, etc"
Topic,ECON_SUBSIDIES,Economic Subsidies,Economic subsidies
Topic,ECON_TAXATION,Economic Taxation,Taxation
Topic,ECON_TRADE_DISPUTE,Economic Trade Dispute,"Trade disputes, antidumping, etc"
Topic,ECON_UNIONS,Economic Unions,"Discussion of unions, unionization, shop stewards, etc"
Topic,EDUCATION,Education,"Teachers, schools, madrassas, yeshivas, professors, education in general"
Topic,ELECTION,Election,Elections of any kind
Topic,ELECTION_FRAUD,Election Fraud,"Election fraud, from ballot stuffing to vote rigging"
Topic,ENV_BIOFUEL,Enviroment Biofuel,Biofuels
Topic,ENV_CARBONCAPTURE,Enviroment Carboncapture,Carbon capture/sequestration
Topic,ENV_CLIMATECHANGE,Enviroment Climatechange,Discussion of climate change and global warming
Topic,ENV_COAL,Enviroment Coal,Coal power
Topic,ENV_DEFORESTATION,Enviroment Deforestation,Deforestation and clear cutting
Topic,ENV_FISHERY,Enviroment Fishery,Discussion of fisheries and fish hatcheries
Topic,ENV_FORESTRY,Enviroment Forestry,Foresty and the logging industry
Topic,ENV_GEOTHERMAL,Enviroment Geothermal,Geothermal
Topic,ENV_GREEN,Enviroment Green,"Green, renewable, and alternative energy"
Topic,ENV_HYDRO,Enviroment Hydro,Hydropower
Topic,ENV_METALS,Enviroment Metals,"Core metals like gold, platinum, silver, copper, iron"
Topic,ENV_MINING,Enviroment Mining,Mining operations
Topic,ENV_NATURALGAS,Enviroment Naturalgas,Natural gas for power and heating
Topic,ENV_NUCLEARPOWER,Enviroment Nuclearpower,Nuclear power for energy generation (excludes nuclear weapons)
Topic,ENV_OIL,Enviroment Oil,Oil power
Topic,ENV_OVERFISH,Enviroment Overfish,Overfishing
Topic,ENV_POACHING,Enviroment Poaching,Poaching
Topic,ENV_SOLAR,Enviroment Solar,Solar power
Topic,ENV_SPECIESENDANGERED,Enviroment Speciesendangered,Discussion of endangered species
Topic,ENV_SPECIESEXTINCT,Enviroment Speciesextinct,Discussion of extinction
Topic,ENV_WATERWAYS,Enviroment Waterways,Waterways
Topic,ENV_WINDPOWER,Enviroment Windpower,Wind power
Topic,ETH_INDIGINOUS,Ethnic Indiginous,Discussion of indiginous peoples
Topic,EXHUMATION,Exhumation,"Discussion of mass graves, exhumation, unearthing of bodies, human remains, etc"
Topic,EXILE,Exile,Actual mention of exile in the text
Topic,EXTREMISM,Extremism,"Discussion of extremists, both political (farright/farleft/anarchist), groups like skinheads, and terms like zealot, ""fringe element"", etc"
Topic,FIREARM_OWNERSHIP,Firearm Ownership,Gun rights
Topic,FOOD_SECURITY,Food Security,"Famine, food crisis, malnourishment, food prices"
Topic,FOOD_STAPLE,Food Staple,"Captures explicit mention of terms like ""food staple"""
Topic,FREESPEECH,Free Speech,Freedom of speech
Topic,FUELPRICES,Fuelprices,"Cost of fuel, energy, heating."
Topic,GEN_HOLIDAY,General Holiday,General discussion of holidays
Topic,GENDER_VIOLENCE,Gender Violence,Gender violence
Topic,GENERAL_GOVERNMENT,General Government,"General discussion of government, congress, parliament, republic, regime, etc"
Topic,GENERAL_HEALTH,General Health,"Any general discussion of human, animal, plant, etc health, from hygiene to hospitals, doctors to disease"
Topic,GENTRIFICATION,Gentrification,Gentrification
Topic,GOV_DISSOLVEGOV,Government Dissolve,Dissolving government
Topic,GOV_DIVISIONOFPOWER,Government Division of Power,Division of power in government
Topic,GOV_INTERGOVERNMENTAL,Government Intergovernmental,Intergovernmental activities or proposals
Topic,GOV_REFORM,Government Reform,Government reform
Topic,GOV_REPATRIATION,Government Repatriation,Repatriation
Topic,GRIEVANCES,Grievances,"Mention of the term ""grievances"" as explicit discussion of societal unhappiness."
Topic,HARASSMENT,Harassment,"Explicit mention of the word ""harassment"""
Topic,HATE_SPEECH,Hate Speech,"Explicit mention of the phrase ""hate speech"""
Topic,HEALTH_PANDEMIC,Health Pandemic,Explicit mention in the text of a pandemic or public health emergency
Topic,HEALTH_SEXTRANSDISEASE,Health Sextransdisease,Mention of sexually transmitted diseases
Topic,HEALTH_VACCINATION,Health Vaccination,"Mentions of vaccination, immunization"
Topic,HUMAN_TRAFFICKING,Human Trafficking,"Human trafficking, sexual slavery, prostitution, human smuggling, etc"
Topic,IDEOLOGY,Ideology,Self-identified discussion of ideology
Topic,IMMIGRATION,Immigration,Discussion of immigration
Topic,IMPEACHMENT,Impeachment,Impeachment
Topic,INFO_HOAX,Info Hoax,Discussion of hoaxes
Topic,INFO_RUMOR,Info Rumor,Discussion of rumors
Topic,INFRASTRUCTURE_BAD_ROADS,Infrastructure Bad Roads,"Mentions of potholes, impassable roads, blocked roads, etc."
Topic,INSURGENCY,Insurgency,Self-identified discussion of insurgency
Topic,INTERNET_BLACKOUT,Internet Blackout,Mentions of internet blackouts
Topic,INTERNET_CENSORSHIP,Internet Censorship,"Internet censorship such as blocking websites, etc"
Topic,JIHAD,Jihad,"Actual mentions of ""jihad"" and ""holy war"""
Topic,LANDMINE,Landmine,"Landmines, IEDs, antipersonnel mines, etc"
Topic,LEADER,Leader,"Political elites, such as lawmakers, presidents, supreme leaders, etc"
Topic,LEGALIZE,Legalize,"Something being legalized, laws being repealed, etc"
Topic,LEGISLATION,Legislation,Discussion of laws
Topic,LGBT,LGBT,"Lesbian, Gay, Bisexual, and Transgender discussion"
Topic,LITERACY,Literacy,Discussion of literacy and illiteracy
Topic,LOCUSTS,Locusts,Mentions of locusts
Topic,MANMADE_DISASTER,Manmade Disaster,"Failure of manmade infrastructure such as car crashes, bridge collapses, derailments, plane crashes, etc"
Topic,MANMADE_DISASTER_IMPLIED,Manmade Disaster Implied,"Discussion of disasters in context with manmade structures, but where the relationship is not fully clear, but is implied"
Topic,MARITIME,Maritime,General discussion of the maritime environment
Topic,MARITIME_INCIDENT,Maritime Incident,"Sinking ships, capsizing, etc"
Topic,MARITIME_INCIDENT_IMPLIED,Maritime Incident Implied,"Maritime emergencies like sinking ships, collisions at sea, etc"
Topic,MARITIME_INCIDENT_SELF_IDENTIFIED,Maritime Incident Self Identified,Mentions of specific unambiguous martime accidents like grounding.
Topic,MARITIME_PIRACY,Maritime Piracy,Maritime piracy
Topic,MEDIA_CENSORSHIP,Media Censorship,"Censorship of the mainstream media, such as arresting journalists, press freedoms, etc"
Topic,MEDIA_MSM,Media Msm,"Any mention of mainstream media such as television, reporter, journalist, etc. Often flags just a mention of a ""reporter"", but can be used to capture discussion of MSM overall"
Topic,MEDIA_SOCIAL,Media Social,"Any mention of social media such as Facebook, Twitter, etc. Often flags mentions of ""follow me on twitter"", but useful proxy for discussion of social media"
Topic,MEDICAL,Medical,"More narrowly focused on healthcare like nurses, health services, addiction treatment, etc"
Topic,MEDICAL_SECURITY,Medical Security,"Access to doctors, healthcare, poor medical access, etc."
Topic,MIL_SELF_IDENTIFIED_ARMS_DEAL,Mil Self Identified Arms Deal,"Only actual mentions of ""arms deal"", ""weapons sale"", etc - doesn't determine that a sale of AK47's is an arms sale, requires the text to explicitly label it as such"
Topic,MIL_WEAPONS_PROLIFERATION,Mil Weapons Proliferation,Weapons proliferation
Topic,MILITARY,Military,General discussion of the military
Topic,MILITARY_COOPERATION,Military Cooperation,"Actual mentions of military ties, military aid, defense cooperation, etc (where the text explicitly labels it as such)"
Topic,MOVEMENT_ENVIRONMENTAL,Movement Environmental,Environmental movements
Topic,MOVEMENT_GENERAL,Movement General,"General discussion of movements, activists, etc"
Topic,MOVEMENT_OTHER,Movement Other,"Catchall for movements such as equality movements, religious movements, youth movements, labor movements, etc"
Topic,MOVEMENT_SOCIAL,Movement Social,General discussion of social-related movements
Topic,MOVEMENT_WOMENS,Movement Womens,Women-specific movements
Topic,NATURAL_DISASTER,Natural Disaster,"From floods to coldsnaps, wildfires to tornadoes"
Topic,NEGOTIATIONS,Negotiations,"Discussion of bargaining, negotations, etc."
Topic,NEW_CONSTRUCTION,New Construction,"Mentions of new construction, new roads, etc"
Topic,ORGANIZED_CRIME,Organized Crime,"Discussion of gangs, mafia, organized crime, etc"
Topic,PEACEKEEPING,Peacekeeping,"Mentions of peacekeepers, UN forces, etc"
Topic,PERSECUTION,Persecution,"Actual mentions of ""persecution"""
Topic,PHONE_OUTAGE,Phone Outage,Interruption of phone service.
Topic,PIPELINE_INCIDENT,Pipeline Incident,Pipeline explosion or damage.
Topic,PIRACY,Piracy,"Piracy, hijacking, etc (but not software/music/etc piracy)"
Topic,POL_HOSTVISIT,Pol Hostvisit,Hosting a visit
Topic,POLITICAL_PRISONER,Political Prisoner,Explicit mention of political prisoners or labor camps
Topic,POLITICAL_TURMOIL,Political Turmoil,"Discussion of major unrest such as martial law, political ""crisis"", state of emergency, violent supression, etc."
Topic,POPULATION_DENSITY,Population Density,Population density
Topic,POVERTY,Poverty,"Poverty, homeless, destitute"
Topic,POWER_OUTAGE,Power Outage,"Mentions of power failures - these are also captured under MANMADE_DISASTER, but are broken out here so that they can be specifically selected"
Topic,PRIVATIZATION,Privatization,Mention of privatization or deregulation.
Topic,PROPAGANDA,Propaganda,"Explicit mention of ""propaganda"""
Topic,PROPERTY_RIGHTS,Property Rights,"Discussion of property rights, land tenure, eminent domain, land confiscation"
Topic,PUBLIC_TRANSPORT,Public Transport,Public transportation from buses to subways
Topic,RAIL_INCIDENT,Rail Incident,"Train accidents, derailments, etc."
Topic,RAPE,Rape,"Rape, sexual slavery, sex crime, etc"
Topic,RATIFY,Ratify,"Mention of something actually being adopted, signed into law, ratified, etc"
Topic,REBELLION,Rebellion,"Mutinies, uprisings, civil war, etc"
Topic,REBELS,Rebels,Self-identified discussion of rebels
Topic,RECRUITMENT,Recruitment,Recruitment
Topic,REL_ANTISEMITISM,Religion Anti-semitism,Anti-semitism
Topic,RELATIONS,Relations,"Narrow focus on ""improving relations"", ""restarting talks"", ""bilateral talks"", etc"
Topic,RELEASE_HOSTAGE,Releas Hostage,A hostage being released
Topic,RELEASE_PRISON,Release Prison,Someone being released from prison/jail
Topic,RELIGION,Religion,"Just mention of terms like ""religion"" or ""secular"", not actual religions"
Topic,RESIGNATION,Resignation,A resignation
Topic,RETALIATE,Retaliate,"Actual mentions of ""reprisals"", ""avenge"", ""strike back"", etc"
Topic,RETIREMENT,Retirement,"Any mention of ""retirement"" (not ""retiring"", etc) or pensions."
Topic,RETIREMENTS,Retirements,A retirement
Topic,ROAD_INCIDENT,Road Incident,"Bridge/road failure, crashes, and accidents."
Topic,RURAL,Rural,Discussion of the rural environment
Topic,SANCTIONS,Sanctions,Sanctions and embargoes
Topic,SANITATION,Sanitation,"Any mention related to sanitation, toilets, etc"
Topic,SCANDAL,Scandal,"Mention of scandal, disgraced, etc, where it has been self-identified in the text as a scandal"
Topic,SCIENCE,Science,"Just mentions of scientist, researcher, invention, innovation, scientific discovery, etc"
Topic,SECURITY_SERVICES,Security Services,"Discussion of primarily internal security services like police, law enforcement, secret police, and also peacekeepers"
Topic,SEIGE,Seige,"Seiges, besieging, blockades, checkpoints, etc"
Topic,SELF_IDENTIFIED_ATROCITY,Self Identified Atrocity,"Only captures atrocities identified as such in the text (atrocity, genocide, war crime, etc), not actions that could be construed as a crime, but where the text does not draw that distinction"
Topic,SELF_IDENTIFIED_ENVIRON_DISASTER,Self Identified Environ Disaster,"Articles where the text explicitly mentions ""ecological disaster"", ""environmental catastrophe"", etc"
Topic,SELF_IDENTIFIED_HUMAN_RIGHTS,Self Identified Human Rights,"Mentions of ""human rights"", ""political freedom"", ""religious freedom"", ""freedom of speech"", etc - only explicit mentions where the text explicitly identified a human rights issue"
Topic,SELF_IDENTIFIED_HUMANITARIAN_CRISIS,Self Identified Humanitarian Crisis,"Humanitarian crises, aid, disasters, disaster relief, etc"
Topic,SEPARATISTS,Separatists,Self-identified discussion of separatists
Topic,SHORTAGE,Shortage,"Shortages, blackouts, brownouts, rationing, etc of anything"
Topic,SLFID_CAPACITY_BUILDING,Self Identified Capacity Building,Self-identified discussion of capacity building
Topic,SLFID_CIVIL_LIBERTIES,Self Identified Civil Liberties,Self-identified discussion of civil liberties
Topic,SLFID_DICTATORSHIP,Self Identified Dictatorship,Self-identified discussion of dictatorship
Topic,SLFID_ECONOMIC_DEVELOPMENT,Self Identified Economic Development,Self-identified discussion of economic development
Topic,SLFID_ECONOMIC_POWER,Self Identified Economic Power,Self-identified discussion of economic power
Topic,SLFID_MILITARY_BUILDUP,Self Identified Military Buildup,Self-identified discussion of military buildup
Topic,SLFID_MILITARY_READINESS,Self Identified Military Readiness,Self-identified discussion of military readiness
Topic,SLFID_MILITARY_SPENDING,Self Identified Military Spending,Self-identified discussion of military spending
Topic,SLFID_MINERAL_RESOURCES,Self Identified Mineral Resources,"Self-identified discussion of mineral wealth, mineral resources, mineral exports"
Topic,SLFID_NATURAL_RESOURCES,Self Identified Natural Resources,Self-identified discussion of natural resources
Topic,SLFID_PEACE_BUILDING,Self Identified Peace Building,Self-identified discussion of peace building
Topic,SLFID_POLITICAL_BOUNDARIES,Self Identified Political Boundaries,Self-identified discussion of political boundaries
Topic,SLFID_RULE_OF_LAW,Self Identified Rule Of Law,Self-identified discussion of rule of law
Topic,SLUMS,Slums,"Slums, shantytowns, etc"
Topic,SMUGGLING,Smuggling,"Smuggling of anything, including arms traficking"
Topic,SOC_DIPLOMCOOP,Diplomatic cooperation,Diplomatic cooperation
Topic,SOC_ECONCOOP,Economic cooperation,Economic cooperation
Topic,SOC_EXPRESSREGRET,Expressing Regret,Expressing regret
Topic,SOC_EXPRESSSUPPORT,Eexpress Support,"Expressing support for a person, action, or similar"
Topic,SOC_FORCEDRELOCATION,Forced Relocation,Forced relocation
Topic,SOC_GENERALCRIME,General Crime,Relating to general criminal activity
Topic,SOC_INTELSHARING,Intelligence Sharing,Intelligence sharing
Topic,SOC_JUDICIALCOOP,Judicial Cooperation,Judicial cooperation
Topic,SOC_MASSMIGRATION,Forced migration,Forced migration
Topic,SOC_PARDON,Relating to Pardoning,Relating to pardoning
Topic,SOC_SUICIDE,Relating to suicide,Relating to suicide
Topic,SOC_SUSPICIOUSACTIVITIES,Suspicious Activities,"Specific mentions of ""suspicious"" activities"
Topic,SOC_SUSPICIOUSPEOPLE,Suspicious People,"Specific mentions of ""suspicious"" persons"
Topic,SOC_TRAFFICACCIDENT,Traffic Accident,Traffic accidents
Topic,SOVEREIGNTY,Sovereignty,"Actual mentions of ""sovereignty"", ""proclaim independence"", ""independent state"", etc"
Topic,STATE_OF_EMERGENCY,State Of Emergency,"Martial law, state of emergency, emergency rule, etc"
Topic,STRIKE,Strike,"Strikes, work stoppages, lock outs, etc"
Topic,SUICIDE_ATTACK,Suicide Attack,Suicide attacks
Topic,SURVEILLANCE,Surveillance,"Surveillance, spying."
Topic,TAKE_OFFICE,Take Office,"Mention of someone taking office either through force or through normal channels (took office, seized office, etc)"
Topic,TERROR,Terror,"Primary discussion of terrorists, bombings, assasinations, etc"
Topic,TORTURE,Torture,"Just mentions of the term ""torture"", not actual torture techniques like waterboarding"
Topic,TOURISM,Tourism,"Actual mentions of ""tourism"", ""tourists"", etc, not related terms"
Topic,TRAFFIC,Traffic,Road traffic.
Topic,TRANSPARENCY,Transparency,Any mention of transparency or accountability.
Topic,TREASON,Treason,"Treason, sedition, insurrection."
Topic,TRIAL,Trial,"Trail, courts, judges, lawyers, lawsuits, etc"
Topic,UNEMPLOYMENT,Unemployment,"Joblessness, unemployment"
Topic,UNGOVERNED,Ungoverned,Ungoverned spaces
Topic,UNREST_CHECKPOINT,Unrest Checkpoint,Relating to checkpoints
Topic,UNREST_CLOSINGBORDER,Unrest Closingborder,Closing borders
Topic,UNREST_HUNGERSTRIKE,Unrest Hunger Strikes,Hunger strikes
Topic,UNREST_MOLOTOVCOCKTAIL,UnrestMolotov Cocktails,Molotov cocktails
Topic,UNREST_POLICEBRUTALITY,Unrest Police Brutality,Police brutality
Topic,UNREST_STONETHROWING,Unrest Stone Throwing,Stone throwing
Topic,UNREST_STONING,Unrest Stoning,Stoning
Topic,UNSAFE_WORK_ENVIRONMENT,Unsafe Work Environment,"Work injuries, killed on the job, working conditions, etc."
Topic,URBAN,Urban,Discussion of the urban environment
Topic,URBAN_SPRAWL,Urban Sprawl,Urban sprawl
Topic,VANDALIZE,Vandalize,"Vandalizing, desecration, defacing"
Topic,VETO,Veto,"Actual mentions of ""veto"", ""voted against"", etc"
Topic,VIOLENT_UNREST,Violent Unrest,"Discussion of violent unrest, from rubber bullets, firing into a crowd, clashes with police or soldiers, violent rioting, etc"
Topic,WATER_SECURITY,Water Security,"Drought, water access, lack of rain, clean water, etc"
Topic,WHISTLEBLOWER,Whistleblower,"Whistleblowers, document leaks, etc"
Topic,WMD,Weapons of Mass Distruction,"Weapons of mass distruction, from nuclear to biological to chemical warfare"
Topic,WB_1000_WATER_MANAGEMENT_STRUCTURES,Water Management Structures,
Topic,WB_1001_SOIL_SALINITY,Soil Salinity,
Topic,WB_1002_IRRIGATION_WATER_QUALITY,Irrigation Water Quality,
Topic,WB_1003_SURFACE_DRAINAGE,Surface Drainage,
Topic,WB_1004_SUBSURFACE_DRAINAGE,Subsurface Drainage,
Topic,WB_1006_GRAVITY_IRRIGATION,Gravity Irrigation,
Topic,WB_1007_PRESSURIZED_IRRIGATION,Pressurized Irrigation,
Topic,WB_1009_AGRICULTURE_EXTENSION,Agriculture Extension,
Topic,WB_1011_JUDICIAL_APPOINTMENTS,Judicial Appointments,
Topic,WB_1014_CRIMINAL_JUSTICE,Criminal Justice,
Topic,WB_1015_TRADE_REGULATION,Trade Regulation,
Topic,WB_1016_SPECIAL_ECONOMIC_ZONES,Special Economic Zones,
Topic,WB_1017_CONSUMER_PROTECTION_LAW,Consumer Protection Law,
Topic,WB_1018_ELECTRONIC_COMMERCE_LAW,Electronic Commerce Law,
Topic,WB_1020_LAW_OF_THE_SEA,Law of the Sea,
Topic,WB_1021_WATER_LAW,Water Law,
Topic,WB_1024_PUBLIC_INTERNATIONAL_LAW,Public International Law,
Topic,WB_1025_PRIVATE_INTERNATIONAL_LAW,Private International Law,
Topic,WB_1026_TREATIES,Treaties,
Topic,WB_1027_PRIVILEGES_AND_IMMUNITIES,Privileges and Immunities,
Topic,WB_1028_INTERNATIONAL_BOUNDARIES,International Boundaries,
Topic,WB_1029_CONFLICT_OF_LAWS,Conflict of Laws,
Topic,WB_1031_COMPETITION_LAW,Competition Law,
Topic,WB_1033_SOLAR_POWER_LAW_AND_REGULATION,Solar Power Law and Regulation,
Topic,WB_1034_WIND_POWER_LAW_AND_REGULATION,Wind Power Law and Regulation,
Topic,WB_1036_PUBLIC_WORKS_REGULATION,Public Works Regulation,
Topic,WB_1037_PUBLIC_UTILITIES_REGULATION,Public Utilities Regulation,
Topic,WB_1038_WASTE_MANAGEMENT_REGULATION,Waste Management Regulation,
Topic,WB_1039_PROPERTY_LAWS_AND_REGULATIONS,Property Laws and Regulations,
Topic,WB_1040_COPYRIGHT_LAW,Copyright Law,
Topic,WB_1041_PATENTS,Patents,
Topic,WB_1042_TRADEMARKS,Trademarks,
Topic,WB_1043_EMPLOYMENT_REGIMES,Employment Regimes,
Topic,WB_1044_CIVIL_LAW,Civil Law,
Topic,WB_1045_TREASURY,Treasury,
Topic,WB_1048_MARINE_PROTECTED_AREAS,Marine Protected Areas,
Topic,WB_1049_INLAND_AQUACULTURE,Inland Aquaculture,
Topic,WB_1050_AQUACULTURE,Aquaculture,
Topic,WB_1052_FOOD_SAFETY_STANDARDS,Food Safety Standards,
Topic,WB_1053_SANITARY_AND_PHYTOSANITARY_STANDARDS,Sanitary and Phytosanitary Standards,
Topic,WB_1054_FOOD_BORNE_DISEASES,Food Borne Diseases,
Topic,WB_1057_SUSTAINABLE_FOREST_MANAGEMENT,Sustainable Forest Management,
Topic,WB_1058_AGRIBUSINESS,Agribusiness,
Topic,WB_1059_AGRICULTURAL_FINANCE,Agricultural Finance,
Topic,WB_1063_WATER_ALLOCATION_AND_WATER_SUPPLY,Water Allocation and Water Supply,
Topic,WB_1064_WATER_DEMAND_MANAGEMENT,Water Demand Management,
Topic,WB_1066_MACROECONOMIC_ANALYSIS_OF_ECONOMIC_DEVELOPMENT,Macroeconomic Analysis of Economic Development,
Topic,WB_1067_MICROECONOMIC_ANALYSIS_OF_ECONOMIC_DEVELOPMENT,Microeconomic Analysis of Economic Development,
Topic,WB_1068_MARKET_FAILURES,Market Failures,
Topic,WB_1069_RESOURCE_MISALLOCATIONS_AND_POLICY_FAILURES,Resource Misallocations and Policy Failures,
Topic,WB_1070_ECONOMIC_GROWTH_POLICY,Economic Growth Policy,
Topic,WB_1071_ECONOMIC_GROWTH_PROJECT_ANALYSIS,Economic Growth Project Analysis,
Topic,WB_1072_FISCAL_POLICY_AND_GROWTH,Fiscal Policy and Growth,
